club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Amkar Perm,Seiichiro Maki,29,Japan,Centre-Forward,CF,400000.0,JEF Utd. Chiba,Japan,,in,summer,Premier Liga,2010,False,
Amkar Perm,Luka Zinko,27,Slovenia,Defensive Midfield,DM,350000.0,APOP Kinyras,Cyprus,0.0,in,summer,Premier Liga,2010,True,free loan
Amkar Perm,Nika Piliev,19,Russia,Left Midfield,LM,600000.0,CSKA Moscow,Russia,0.0,in,summer,Premier Liga,2010,True,free loan
Amkar Perm,Stevica Ristic,28,North Macedonia,Centre-Forward,CF,1400000.0,Bunyodkor,Uzbekistan,,in,summer,Premier Liga,2010,False,
Amkar Perm,Aleksey Pomerko,20,Russia,Central Midfield,CM,350000.0,Lokomotiv 2,Russia,0.0,out,summer,Premier Liga,2010,True,free loan
Amkar Perm,Maksim Shumaylov,20,Russia,Goalkeeper,GK,200000.0,Octane,Russia,0.0,out,summer,Premier Liga,2010,True,free loan
Amkar Perm,Denys Dedechko,23,Ukraine,Defensive Midfield,DM,200000.0,Krasnodar,Russia,,out,summer,Premier Liga,2010,False,
Amkar Perm,William,27,Brazil,Left-Back,LB,350000.0,Dinamo Bryansk,Russia,,out,summer,Premier Liga,2010,False,
Amkar Perm,Victor,21,Brazil,Centre-Forward,CF,100000.0,Aparecida,Brazil,,out,summer,Premier Liga,2010,False,
Amkar Perm,Maksim Shumaylov,20,Russia,Goalkeeper,GK,200000.0,Tyumen,Russia,0.0,out,summer,Premier Liga,2010,True,free loan
Amkar Perm,Jean Carlos,26,Brazil,Centre-Forward,CF,400000.0,Ceará SC,Brazil,0.0,out,summer,Premier Liga,2010,True,free loan
Amkar Perm,Vadim Gagloev,21,Russia,Defensive Midfield,DM,100000.0,Tyumen,Russia,0.0,out,summer,Premier Liga,2010,True,free loan
Amkar Perm,Predrag Mijic,26,Serbia,Right Winger,RW,400000.0,Partizan,Serbia,500000.0,in,winter,Premier Liga,2010,False,
Amkar Perm,Radomir Djalovic,29,Montenegro,Centre-Forward,CF,800000.0,HNK Rijeka,Croatia,450000.0,in,winter,Premier Liga,2010,False,
Amkar Perm,Artem Molodtsov,20,Russia,Right-Back,RB,,Saturn II,Russia,0.0,in,winter,Premier Liga,2010,False,
Amkar Perm,Vasili Khomutovski,32,Belarus,Goalkeeper,GK,200000.0,SK Tavriya,Ukraine,0.0,in,winter,Premier Liga,2010,False,
Amkar Perm,Nikola Mijailovic,29,Serbia,Left-Back,LB,550000.0,Korona Kielce,Poland,0.0,in,winter,Premier Liga,2010,False,
Amkar Perm,Samir Merzic,26,Bosnia-Herzegovina,Centre-Back,CB,400000.0,FK Senica,Slovakia,,in,winter,Premier Liga,2010,False,
Amkar Perm,Igor Usminskiy,33,Russia,Goalkeeper,GK,500000.0,Krasnodar,Russia,650000.0,out,winter,Premier Liga,2010,False,
Amkar Perm,Miklós Gaál,29,Hungary,Left-Back,LB,1500000.0,Volga NN,Russia,0.0,out,winter,Premier Liga,2010,False,
Amkar Perm,Martin Kushev,37,Bulgaria,Centre-Forward,CF,300000.0,Slavia Sofia,Bulgaria,0.0,out,winter,Premier Liga,2010,False,
Amkar Perm,Sergey Morozov,21,Russia,Centre-Back,CB,200000.0,Neftekhimik,Russia,0.0,out,winter,Premier Liga,2010,False,
Amkar Perm,Dmitri Sokolov,22,Russia,Left Midfield,LM,450000.0,Sokol Saratov,Russia,0.0,out,winter,Premier Liga,2010,False,
Amkar Perm,Jean Carlos,26,Brazil,Centre-Forward,CF,400000.0,Chapecoense,Brazil,0.0,out,winter,Premier Liga,2010,False,
Amkar Perm,Seiichiro Maki,30,Japan,Centre-Forward,CF,250000.0,SZ Ruby,China,0.0,out,winter,Premier Liga,2010,False,
Amkar Perm,Edin Junuzovic,24,Croatia,Centre-Forward,CF,450000.0,Dinamo Bryansk,Russia,,out,winter,Premier Liga,2010,False,
Amkar Perm,Vadim Gagloev,22,Russia,Defensive Midfield,DM,100000.0,FK Novgorod,Russia,,out,winter,Premier Liga,2010,False,
Anzhi Makhachkala,Arafat Djako,22,Togo,Second Striker,SS,500000.0,Hapoel Acre,Israel,600000.0,in,summer,Premier Liga,2010,False,
Anzhi Makhachkala,Otar Khizaneishvili,28,Georgia,Centre-Back,CB,200000.0,FC Augsburg,Germany,0.0,in,summer,Premier Liga,2010,False,
Anzhi Makhachkala,Ilya Kukharchuk,20,Russia,Right Winger,RW,75000.0,Rubin Kazan II,Russia,0.0,in,summer,Premier Liga,2010,False,
Anzhi Makhachkala,Igor Strelkov,28,Russia,Centre-Forward,CF,400000.0,KS Samara,Russia,0.0,in,summer,Premier Liga,2010,True,free loan
Anzhi Makhachkala,Shamil Burziev,25,Russia,Defensive Midfield,DM,150000.0,Fakel Voronezh,Russia,,in,summer,Premier Liga,2010,False,
Anzhi Makhachkala,Oskars Klava,26,Latvia,Centre-Back,CB,475000.0,Metalurgs,Latvia,,in,summer,Premier Liga,2010,False,
Anzhi Makhachkala,Myroslav Slavov,19,Ukraine,Centre-Forward,CF,,G. Bordeaux B,France,,in,summer,Premier Liga,2010,False,
Anzhi Makhachkala,Isah Eliakwu,24,Nigeria,Centre-Forward,CF,350000.0,Varese,Italy,,in,summer,Premier Liga,2010,False,
Anzhi Makhachkala,Dmitri Vasiljev,25,Russia,Left Winger,LW,400000.0,Career break,,,in,summer,Premier Liga,2010,False,
Anzhi Makhachkala,Leonid Musin,25,Russia,Goalkeeper,GK,50000.0,Without Club,,,in,summer,Premier Liga,2010,False,
Anzhi Makhachkala,Mahir Shukurov,28,Azerbaijan,Right-Back,RB,500000.0,FK Qabala,Azerbaijan,0.0,out,summer,Premier Liga,2010,False,
Anzhi Makhachkala,Dmitri Ivanov,24,Russia,Centre-Back,CB,750000.0,Dagdiesel,Russia,0.0,out,summer,Premier Liga,2010,True,free loan
Anzhi Makhachkala,William,27,Brazil,Centre-Forward,CF,1700000.0,Vit. Guimarães,Portugal,,out,summer,Premier Liga,2010,False,
Anzhi Makhachkala,Gocha Khojava,25,Georgia,Attacking Midfield,AM,1200000.0,Volga NN,Russia,0.0,out,summer,Premier Liga,2010,True,free loan
Anzhi Makhachkala,Revaz Barabadze,21,Georgia,Centre-Forward,CF,200000.0,Metalurgi R.,Georgia,,out,summer,Premier Liga,2010,False,
Anzhi Makhachkala,Giorgi Navalovski,24,Georgia,Left-Back,LB,700000.0,Volga NN,Russia,,out,summer,Premier Liga,2010,False,
Anzhi Makhachkala,Eldar Mamaev,25,Russia,Defensive Midfield,DM,350000.0,Ural,Russia,,out,summer,Premier Liga,2010,False,
Anzhi Makhachkala,Sandro Iashvili,25,Georgia,Centre-Forward,CF,325000.0,Without Club,,,out,summer,Premier Liga,2010,False,
Anzhi Makhachkala,Davit Kvirkvelia,30,Georgia,Left-Back,LB,2000000.0,Rubin Kazan,Russia,0.0,out,summer,Premier Liga,2010,True,end of loan
Anzhi Makhachkala,Jucilei,22,Brazil,Defensive Midfield,DM,6500000.0,Corinthians,Brazil,10000000.0,in,winter,Premier Liga,2010,False,
