club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Athletic Bilbao,Aitor Ocio,24,Spain,Centre-Back,CB,,CA Osasuna,Spain,,in,summer,Laliga,2001,False,
Athletic Bilbao,Carlos Merino,21,Spain,Attacking Midfield,AM,,Burgos CF,Spain,0.0,out,summer,Laliga,2001,True,free loan
Athletic Bilbao,Galder Zubizarreta,21,Spain,Centre-Back,CB,,Burgos CF,Spain,,out,summer,Laliga,2001,False,
Athletic Bilbao,Mikel Lasa,29,Spain,Left-Back,LB,,Real Murcia,Spain,,out,summer,Laliga,2001,False,
Athletic Bilbao,Imanol Etxeberria,28,Spain,Goalkeeper,GK,,Rayo Vallecano,Spain,,out,summer,Laliga,2001,False,
Athletic Bilbao,David Asensio,21,Spain,Second Striker,SS,,CF Extremadura,Spain,,out,summer,Laliga,2001,False,
CA Osasuna,John Aloisi,25,Australia,Centre-Forward,CF,,Coventry,England,1800000.0,in,summer,Laliga,2001,False,
CA Osasuna,Rafael Olarra,23,Chile,Centre-Back,CB,,U. de Chile,Chile,700000.0,in,summer,Laliga,2001,False,
CA Osasuna,Pablo Contreras,22,Chile,Centre-Back,CB,,Celta de Vigo,Spain,0.0,in,summer,Laliga,2001,True,free loan
CA Osasuna,Juan Carlos Unzué,34,Spain,Goalkeeper,GK,,Real Oviedo,Spain,,in,summer,Laliga,2001,False,
CA Osasuna,Gorka de Carlos,23,Spain,Centre-Forward,CF,,Burgos CF,Spain,,in,summer,Laliga,2001,False,
CA Osasuna,Gerardo Rivero,26,Argentina,Right Midfield,RM,,Almagro,Argentina,,in,summer,Laliga,2001,False,
CA Osasuna,Manolo Sánchez,25,Spain,Left-Back,LB,,Celta de Vigo,Spain,0.0,in,summer,Laliga,2001,True,free loan
CA Osasuna,Fernando,29,Spain,Left Midfield,LM,,Dep. La Coruña,Spain,0.0,in,summer,Laliga,2001,True,free loan
CA Osasuna,David Cano,26,Spain,Defensive Midfield,DM,,Sporting Gijón,Spain,,in,summer,Laliga,2001,False,
CA Osasuna,Daniel Montenegro,22,Argentina,Attacking Midfield,AM,,Marseille,France,0.0,in,summer,Laliga,2001,True,free loan
CA Osasuna,Emeka Ifejiagwa,23,Nigeria,Centre-Back,CB,,VfL Wolfsburg,Germany,450000.0,out,summer,Laliga,2001,False,
