club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Anzhi Makhachkala,Amel Mujcinovic,27,Bosnia-Herzegovina,Goalkeeper,GK,,NK Celje,Slovenia,0.0,in,summer,Premier Liga,2001,False,
Anzhi Makhachkala,Marek Holly,27,Slovakia,Defensive Midfield,DM,,Spartak V-kavkaz,Russia,,in,summer,Premier Liga,2001,False,
Anzhi Makhachkala,Michel Pensée,28,Cameroon,Centre-Back,CB,,Desportivo Aves,Portugal,,in,summer,Premier Liga,2001,False,
Anzhi Makhachkala,Amir Hamzic,26,Bosnia-Herzegovina,Central Midfield,CM,,FC Aarau,Switzerland,,in,summer,Premier Liga,2001,False,
Anzhi Makhachkala,Edu,27,Brazil,Centre-Forward,CF,,KS Samara,Russia,0.0,in,summer,Premier Liga,2001,True,free loan
Anzhi Makhachkala,Muteba Mwanza,20,Congo,Right Midfield,RM,,Kabuscorp SC,Angola,,in,summer,Premier Liga,2001,False,
Anzhi Makhachkala,Elvir Rahimic,25,Bosnia-Herzegovina,Defensive Midfield,DM,,CSKA Moscow,Russia,400000.0,out,summer,Premier Liga,2001,False,
Anzhi Makhachkala,Predrag Randjelovic,24,Serbia,Centre-Forward,CF,,CSKA Moscow,Russia,,out,summer,Premier Liga,2001,False,
Anzhi Makhachkala,Sergey Nekrasov,28,Russia,Left-Back,LB,,Khimki,Russia,,out,summer,Premier Liga,2001,False,
Anzhi Makhachkala,Yves Jupiter Ngangue,21,Cameroon,attack,attack,,Unknown,,,out,summer,Premier Liga,2001,False,
Anzhi Makhachkala,Lazo Liposki,35,North Macedonia,Goalkeeper,GK,,Retired,,,out,summer,Premier Liga,2001,False,
Anzhi Makhachkala,Willer,22,Brazil,Attacking Midfield,AM,,Fortaleza,Brazil,,in,winter,Premier Liga,2001,False,
Anzhi Makhachkala,Igor Aksenov,24,Russia,Defensive Midfield,DM,,CSKA Moscow,Russia,,in,winter,Premier Liga,2001,False,
Anzhi Makhachkala,Kakhaber Mzhavanadze,23,Georgia,Right-Back,RB,,Spartak Moscow,Russia,,in,winter,Premier Liga,2001,False,
Anzhi Makhachkala,Aleksey Saveljev,24,Russia,Attacking Midfield,AM,,Saturn REN-TV,Russia,,in,winter,Premier Liga,2001,False,
Anzhi Makhachkala,Jafar Irismetov,25,Uzbekistan,Centre-Forward,CF,,FK Mozyr-ZLiN,Belarus,,in,winter,Premier Liga,2001,False,
Anzhi Makhachkala,Stevo Glogovac,28,Serbia,Right-Back,RB,,Red Star,Serbia,,in,winter,Premier Liga,2001,False,
Anzhi Makhachkala,Eriks Pelcis,23,Latvia,Centre-Forward,CF,,Anyang LG Cheeta,"Korea, South",,in,winter,Premier Liga,2001,False,
Anzhi Makhachkala,Nicolae Stanciu,28,Romania,Right-Back,RB,,Rapid Bucharest,Romania,,in,winter,Premier Liga,2001,False,
Anzhi Makhachkala,Vladyslav Prudius,28,Ukraine,Attacking Midfield,AM,,Lokomotiv NN,Russia,,in,winter,Premier Liga,2001,False,
Anzhi Makhachkala,Ilgar Abdurahmanov,21,Azerbaijan,Right-Back,RB,,Belshina,Belarus,,in,winter,Premier Liga,2001,False,
Anzhi Makhachkala,Aleksandr Mitrofanov,24,Ukraine,midfield,midfield,,SK Tavriya,Ukraine,,in,winter,Premier Liga,2001,False,
Anzhi Makhachkala,Narvik Sirkhaev,27,Azerbaijan,Attacking Midfield,AM,,Loko Moscow,Russia,1000000.0,out,winter,Premier Liga,2001,False,
Anzhi Makhachkala,Sergey Yaskovich,29,Belarus,Centre-Back,CB,,Olympique Alès,France,,out,winter,Premier Liga,2001,False,
Anzhi Makhachkala,Zehrudin Kavazovic,26,Bosnia-Herzegovina,Centre-Forward,CF,,Celik Zenica,Bosnia-Herzegovina,,out,winter,Premier Liga,2001,False,
Anzhi Makhachkala,Aleksandr Zhidkov,36,Azerbaijan,Goalkeeper,GK,,Tom Tomsk,Russia,,out,winter,Premier Liga,2001,False,
Anzhi Makhachkala,Dmitri Byakov,23,Kazakhstan,Right Midfield,RM,,Kairat Almaty,Kazakhstan,,out,winter,Premier Liga,2001,False,
