club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
AA La Louviere,Luciano Ray Djim,22,Central African Republic,attack,attack,,RSC Charleroi,Belgium,0.0,in,summer,Jupiler Pro League,2001,False,
AA La Louviere,Nicolas Ouédec,29,France,Centre-Forward,CF,,Montpellier,France,0.0,in,summer,Jupiler Pro League,2001,False,
AA La Louviere,Ola Tidman,22,Sweden,Goalkeeper,GK,,KAA Gent,Belgium,,in,summer,Jupiler Pro League,2001,False,
AA La Louviere,Olivier Suray,29,Belgium,Right-Back,RB,,Adanaspor,Turkey,,in,summer,Jupiler Pro League,2001,False,
AA La Louviere,Pascal Dias,25,France,midfield,midfield,,RSC Charleroi,Belgium,,in,summer,Jupiler Pro League,2001,False,
AA La Louviere,Emmanuel Karagiannis,34,Belgium,Defensive Midfield,DM,,Germ. Beerschot,Belgium,,in,summer,Jupiler Pro League,2001,False,
AA La Louviere,Masahiro Endo,30,Japan,Left-Back,LB,,KV Mechelen,Belgium,,in,summer,Jupiler Pro League,2001,False,
AA La Louviere,Olivier Bogaczyk,24,France,midfield,midfield,,SM Caen,France,,in,summer,Jupiler Pro League,2001,False,
AA La Louviere,Jean-François Lecomte,32,Belgium,Goalkeeper,GK,,RSC Charleroi,Belgium,,in,summer,Jupiler Pro League,2001,False,
AA La Louviere,Eddy Bembuana-Keve,28,DR Congo,attack,attack,,Avellino,Italy,,out,summer,Jupiler Pro League,2001,False,
AA La Louviere,Rudy Moury,35,Belgium,defence,defence,,RFC Lüttich,Belgium,,out,summer,Jupiler Pro League,2001,False,
AA La Louviere,Lucas,25,Brazil,Central Midfield,CM,,Eendracht Aalst,Belgium,,out,summer,Jupiler Pro League,2001,False,
AA La Louviere,Didier Xhardez,31,Belgium,Goalkeeper,GK,,CS Visé,Belgium,,out,summer,Jupiler Pro League,2001,False,
AA La Louviere,Washington,26,Brazil,attack,attack,,Paraná,Brazil,,out,summer,Jupiler Pro League,2001,False,
AA La Louviere,Stephane Vanderheyden,29,Belgium,midfield,midfield,,KSV Roeselare,Belgium,,out,summer,Jupiler Pro League,2001,False,
AA La Louviere,Toni di Tullio,25,Belgium,Centre-Back,CB,,Boussu Dour,Belgium,,out,summer,Jupiler Pro League,2001,False,
AA La Louviere,Eben Dorkutso Dugbatey,27,Ghana,midfield,midfield,,FC Lorient,France,0.0,out,summer,Jupiler Pro League,2001,True,end of loan
AA La Louviere,Emmanuel Kenmogne,21,Cameroon,Centre-Forward,CF,,Africa Sports,Cote d'Ivoire,,in,winter,Jupiler Pro League,2001,False,
AA La Louviere,Benjamin,23,Brazil,Attacking Midfield,AM,,KRC Genk,Belgium,,in,winter,Jupiler Pro League,2001,False,
AA La Louviere,Jan Van Steenberghe,29,Belgium,Goalkeeper,GK,,Royal Antwerp,Belgium,0.0,out,winter,Jupiler Pro League,2001,True,free loan
Club Brugge KV,Nastja Ceh,23,Slovenia,Attacking Midfield,AM,,NK Maribor,Slovenia,700000.0,in,summer,Jupiler Pro League,2001,False,
Club Brugge KV,Birger Van de Ven,19,Belgium,Centre-Back,CB,,KV Mechelen,Belgium,150000.0,in,summer,Jupiler Pro League,2001,False,
Club Brugge KV,Sebastian Hermans,18,Belgium,Right Midfield,RM,,Eendracht Aalst,Belgium,0.0,in,summer,Jupiler Pro League,2001,False,
Club Brugge KV,Sven Vermant,28,Belgium,Central Midfield,CM,,FC Schalke 04,Germany,0.0,out,summer,Jupiler Pro League,2001,False,
Club Brugge KV,Dalibor Mitrovic,23,Serbia,Centre-Forward,CF,,Sint-Truiden,Belgium,0.0,out,summer,Jupiler Pro League,2001,False,
Club Brugge KV,Jimmy De Wulf,21,Belgium,Centre-Back,CB,,Tromsø IL,Norway,0.0,out,summer,Jupiler Pro League,2001,True,free loan
Club Brugge KV,Tomas Daumantas,25,Lithuania,Attacking Midfield,AM,,MVV Maastricht,Netherlands,,out,summer,Jupiler Pro League,2001,False,
