club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
AC Milan,Kaká,21,Brazil,Attacking Midfield,AM,,São Paulo,Brazil,8500000.0,in,summer,Serie A,2003,False,
AC Milan,Alessandro Budel,22,Italy,Defensive Midfield,DM,,Triestina,Italy,2000000.0,in,summer,Serie A,2003,False,
AC Milan,Giuseppe Ticli,24,Italy,Left Midfield,LM,,Inter,Italy,1500000.0,in,summer,Serie A,2003,False,
AC Milan,Filippo Porcari,19,Italy,Defensive Midfield,DM,,Parma U19,Italy,1000000.0,in,summer,Serie A,2003,False,
AC Milan,Cafú,33,Brazil,Right-Back,RB,,AS Roma,Italy,0.0,in,summer,Serie A,2003,False,
AC Milan,Giuseppe Pancaro,31,Italy,Right-Back,RB,,Lazio,Italy,0.0,in,summer,Serie A,2003,True,free loan
AC Milan,Patrick Kalambay,19,Italy,Right Midfield,RM,,Ancona,Italy,,in,summer,Serie A,2003,False,
AC Milan,José Mari,24,Spain,Centre-Forward,CF,,Villarreal,Spain,9000000.0,out,summer,Serie A,2003,False,
AC Milan,Luca Antonini,20,Italy,Left-Back,LB,,Sampdoria,Italy,2000000.0,out,summer,Serie A,2003,False,
AC Milan,Cyril Domoraud,31,Cote d'Ivoire,Centre-Back,CB,,Espanyol,Spain,1500000.0,out,summer,Serie A,2003,False,
AC Milan,Fabricio Coloccini,21,Argentina,Centre-Back,CB,,Villarreal,Spain,250000.0,out,summer,Serie A,2003,True,loan with fee
AC Milan,Roque Júnior,26,Brazil,Centre-Back,CB,,Leeds,England,100000.0,out,summer,Serie A,2003,True,loan with fee
AC Milan,Demetrio Albertini,31,Italy,Defensive Midfield,DM,,Lazio,Italy,0.0,out,summer,Serie A,2003,False,
AC Milan,Ibrahim Bá,29,France,Right Midfield,RM,,Bolton,England,0.0,out,summer,Serie A,2003,False,
AC Milan,Catilina Aubameyang,19,Gabon,Left Midfield,LM,,Triestina,Italy,0.0,out,summer,Serie A,2003,True,free loan
AC Milan,Paolo Sammarco,20,Italy,Central Midfield,CM,,Prato,Italy,0.0,out,summer,Serie A,2003,True,free loan
AC Milan,José Chamot,34,Argentina,Centre-Back,CB,,CD Leganés,Spain,0.0,out,summer,Serie A,2003,False,
AC Milan,Samuele Dalla Bona,22,Italy,Central Midfield,CM,,Bologna,Italy,0.0,out,summer,Serie A,2003,True,free loan
AC Milan,Marco Donadel,20,Italy,Defensive Midfield,DM,,AC Parma,Italy,0.0,out,summer,Serie A,2003,True,free loan
AC Milan,Gabriele Aldegani,27,Italy,Goalkeeper,GK,,Rimini,Italy,,out,summer,Serie A,2003,False,
AC Milan,Thomas Helveg,32,Denmark,Right-Back,RB,,Inter,Italy,,out,summer,Serie A,2003,False,
AC Milan,Andrea Rabito,23,Italy,Right Winger,RW,,AS Livorno,Italy,0.0,out,summer,Serie A,2003,True,free loan
AC Milan,Alessandro Budel,22,Italy,Defensive Midfield,DM,,Lecce,Italy,0.0,out,summer,Serie A,2003,True,free loan
AC Milan,Emanuele D'Anna,21,Italy,Right Midfield,RM,,Piacenza,Italy,,out,summer,Serie A,2003,False,
AC Milan,Simone Giovanni Brunelli,20,Italy,Goalkeeper,GK,,Pro Sesto,Italy,,out,summer,Serie A,2003,False,
AC Milan,Vitali Kutuzov,23,Belarus,Centre-Forward,CF,,Avellino,Italy,0.0,out,summer,Serie A,2003,True,free loan
AC Milan,Filippo Porcari,19,Italy,Defensive Midfield,DM,,Padova,Italy,0.0,out,summer,Serie A,2003,True,free loan
AC Milan,Giuseppe Ticli,24,Italy,Left Midfield,LM,,Calcio Monza,Italy,0.0,out,summer,Serie A,2003,True,free loan
AC Milan,William Nava,18,Italy,midfield,midfield,,Without Club,,,out,summer,Serie A,2003,False,
AC Milan,Nicola Pozzi,17,Italy,Centre-Forward,CF,,Cesena,Italy,2000000.0,in,winter,Serie A,2003,False,
AC Milan,Roque Júnior,27,Brazil,Centre-Back,CB,,Siena,Italy,0.0,out,winter,Serie A,2003,True,free loan
AC Milan,Mohamed Sarr,20,Senegal,Centre-Back,CB,,Atalanta BC,Italy,0.0,out,winter,Serie A,2003,True,free loan
AC Milan,Rivaldo,31,Brazil,Attacking Midfield,AM,,Cruzeiro,Brazil,0.0,out,winter,Serie A,2003,False,
AC Milan,Alessandro Budel,22,Italy,Defensive Midfield,DM,,Genoa,Italy,0.0,out,winter,Serie A,2003,True,free loan
AC Parma,Sébastien Frey,23,France,Goalkeeper,GK,,Inter,Italy,21000000.0,in,summer,Serie A,2003,False,
AC Parma,Emiliano Moretti,22,Italy,Centre-Back,CB,,Juventus,Italy,1800000.0,in,summer,Serie A,2003,False,
AC Parma,Domenico Morfeo,27,Italy,Attacking Midfield,AM,,Inter,Italy,1000000.0,in,summer,Serie A,2003,True,loan with fee
AC Parma,Anthony Seric,24,Croatia,Left-Back,LB,,Hellas Verona,Italy,0.0,in,summer,Serie A,2003,True,free loan
AC Parma,Manuele Blasi,22,Italy,Central Midfield,CM,,Juventus,Italy,0.0,in,summer,Serie A,2003,True,free loan
AC Parma,Marco Donadel,20,Italy,Defensive Midfield,DM,,AC Milan,Italy,0.0,in,summer,Serie A,2003,True,free loan
AC Parma,Benny Carbone,31,Italy,Second Striker,SS,,Como,Italy,,in,summer,Serie A,2003,False,
AC Parma,Vincenzo Sicignano,28,Italy,Goalkeeper,GK,,US Palermo,Italy,,in,summer,Serie A,2003,False,
AC Parma,Marcello Castellini,30,Italy,Centre-Back,CB,,Bologna,Italy,,in,summer,Serie A,2003,False,
AC Parma,Adrian Mutu,24,Romania,Centre-Forward,CF,,Chelsea,England,19000000.0,out,summer,Serie A,2003,False,
AC Parma,Evanilson,27,Brazil,Right-Back,RB,,Bor. Dortmund,Germany,15000000.0,out,summer,Serie A,2003,False,
AC Parma,Marco Di Vaio,26,Italy,Centre-Forward,CF,,Juventus,Italy,14000000.0,out,summer,Serie A,2003,False,
AC Parma,Emiliano Bonazzoli,24,Italy,Centre-Forward,CF,,Reggina,Italy,4500000.0,out,summer,Serie A,2003,False,
AC Parma,Savo Milosevic,29,Serbia,Centre-Forward,CF,,Celta de Vigo,Spain,2000000.0,out,summer,Serie A,2003,True,loan with fee
AC Parma,Vratislav Gresko,25,Slovakia,Left-Back,LB,,Blackburn,England,1800000.0,out,summer,Serie A,2003,False,
