club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
AC Ajaccio,Mamadou Bagayoko,24,Mali,Centre-Forward,CF,,R. Strasbourg,France,0.0,in,summer,Ligue 1,2003,False,
AC Ajaccio,Milan Martinovic,23,Serbia,Centre-Back,CB,,Real Oviedo,Spain,0.0,in,summer,Ligue 1,2003,False,
AC Ajaccio,Abderaouf Zarabi,24,Algeria,Left-Back,LB,,NA Hussein Dey,Algeria,0.0,in,summer,Ligue 1,2003,False,
AC Ajaccio,Djamel Abdoun,17,Algeria,Right Winger,RW,,Paris SG B,France,0.0,in,summer,Ligue 1,2003,False,
AC Ajaccio,Nicolas Bonnal,26,France,Left Midfield,LM,,LOSC Lille,France,0.0,in,summer,Ligue 1,2003,True,free loan
AC Ajaccio,Frédéric Danjou,28,France,Centre-Back,CB,,Troyes,France,,in,summer,Ligue 1,2003,False,
AC Ajaccio,Rodrigo,22,Brazil,Defensive Midfield,DM,,Atlético-MG,Brazil,,in,summer,Ligue 1,2003,False,
AC Ajaccio,Dalibor Mitrovic,25,Serbia,Centre-Forward,CF,,Rad,Serbia,0.0,in,summer,Ligue 1,2003,True,free loan
AC Ajaccio,Jean-Toussaint Moretti,23,France,Left-Back,LB,,Varese,Italy,,in,summer,Ligue 1,2003,False,
AC Ajaccio,Ousman Nyan,27,Norway,Central Midfield,CM,,Sogndal IL,Norway,0.0,out,summer,Ligue 1,2003,False,
AC Ajaccio,Juan Esnáider,30,Argentina,Centre-Forward,CF,,Real Murcia,Spain,0.0,out,summer,Ligue 1,2003,False,
AC Ajaccio,Mickaël Marquet,21,France,Attacking Midfield,AM,,Dijon,France,0.0,out,summer,Ligue 1,2003,True,free loan
AC Ajaccio,Xavier Bécas,24,France,attack,attack,,FC Gueugnon,France,0.0,out,summer,Ligue 1,2003,True,free loan
AC Ajaccio,Fabrice Levrat,23,France,Defensive Midfield,DM,,FC Gueugnon,France,0.0,out,summer,Ligue 1,2003,False,
AC Ajaccio,Wálter Guglielmone,25,Uruguay,Centre-Forward,CF,,Nacional,Uruguay,,out,summer,Ligue 1,2003,False,
AC Ajaccio,Dmitri Ananko,29,Russia,Centre-Back,CB,,Tor-Met Moscow,Russia,,out,summer,Ligue 1,2003,False,
AC Ajaccio,Yannick Achard,26,France,midfield,midfield,,Unknown,,,out,summer,Ligue 1,2003,False,
AC Ajaccio,Jean-Michel Luciani,28,France,defence,defence,,Unknown,,,out,summer,Ligue 1,2003,False,
AC Ajaccio,Bernard Diomède,30,France,Left Winger,LW,,Liverpool,England,0.0,out,summer,Ligue 1,2003,True,end of loan
AC Ajaccio,Hervé Alicarte,28,France,Sweeper,SW,,G. Bordeaux,France,0.0,out,summer,Ligue 1,2003,True,end of loan
AC Ajaccio,Fabien Laurenti,21,France,Right-Back,RB,,Marseille,France,0.0,in,winter,Ligue 1,2003,True,free loan
AC Ajaccio,Lassina Diabaté,29,Cote d'Ivoire,Defensive Midfield,DM,,Portsmouth,England,0.0,in,winter,Ligue 1,2003,False,
AC Ajaccio,Patrice Loko,33,France,Centre-Forward,CF,,FC Lorient,France,,in,winter,Ligue 1,2003,False,
AC Ajaccio,Grégory Ursule,26,France,Defensive Midfield,DM,,FC Gueugnon,France,0.0,out,winter,Ligue 1,2003,True,free loan
AJ Auxerre,Bonaventure Kalou,25,Cote d'Ivoire,Right Winger,RW,,Feyenoord,Netherlands,4000000.0,in,summer,Ligue 1,2003,False,
AJ Auxerre,Philippe Violeau,32,France,Defensive Midfield,DM,,Olympique Lyon,France,400000.0,in,summer,Ligue 1,2003,False,
AJ Auxerre,Tiago Henrique,21,Brazil,Right Winger,RW,,Corinthians,Brazil,0.0,in,summer,Ligue 1,2003,False,
AJ Auxerre,Mamoutou Coulibaly,19,Mali,Centre-Back,CB,,CSK Bamako,Mali,,in,summer,Ligue 1,2003,False,
AJ Auxerre,Amdy Fayé,26,Senegal,Defensive Midfield,DM,,Portsmouth,England,2230000.0,out,summer,Ligue 1,2003,False,
AJ Auxerre,Mohamed Sissoko,18,Mali,Defensive Midfield,DM,,Valencia,Spain,1000000.0,out,summer,Ligue 1,2003,False,
AJ Auxerre,Khalilou Fadiga,28,Senegal,Left Winger,LW,,Inter,Italy,300000.0,out,summer,Ligue 1,2003,False,
AJ Auxerre,Éric Assati,28,France,Left-Back,LB,,Amiens SC,France,0.0,out,summer,Ligue 1,2003,False,
AJ Auxerre,Marc Kalenga,18,France,midfield,midfield,,Rangers,Scotland,0.0,out,summer,Ligue 1,2003,False,
AJ Auxerre,Kuami Agboh,25,Togo,Defensive Midfield,DM,,Grenoble,France,0.0,out,summer,Ligue 1,2003,False,
AJ Auxerre,Nicolas Marin,22,France,Right Midfield,RM,,Saint-Étienne,France,0.0,out,summer,Ligue 1,2003,False,
AJ Auxerre,Hélder Esteves,26,Portugal,Centre-Forward,CF,,Troyes,France,0.0,out,summer,Ligue 1,2003,True,free loan
AJ Auxerre,Nikola Jozic,20,Serbia,Centre-Back,CB,,Unknown,,,out,summer,Ligue 1,2003,False,
AJ Auxerre,David Vandenbossche,23,France,Attacking Midfield,AM,,LB Châteauroux,France,0.0,out,winter,Ligue 1,2003,True,free loan
AS Monaco,Emmanuel Adebayor,19,Togo,Centre-Forward,CF,,FC Metz,France,3200000.0,in,summer,Ligue 1,2003,False,
AS Monaco,Fernando Morientes,27,Spain,Centre-Forward,CF,,Real Madrid,Spain,0.0,in,summer,Ligue 1,2003,True,free loan
AS Monaco,Joseph Dayo Oshadogan,27,Italy,Centre-Back,CB,,Cosenza,Italy,0.0,in,summer,Ligue 1,2003,False,
AS Monaco,Édouard Cissé,25,France,Defensive Midfield,DM,,Paris SG,France,0.0,in,summer,Ligue 1,2003,True,free loan
AS Monaco,Hugo Ibarra,29,Argentina,Right-Back,RB,,FC Porto,Portugal,0.0,in,summer,Ligue 1,2003,True,free loan
AS Monaco,Rafael Márquez,24,Mexico,Centre-Back,CB,,FC Barcelona,Spain,5250000.0,out,summer,Ligue 1,2003,False,
AS Monaco,Marcelo Gallardo,27,Argentina,Attacking Midfield,AM,,River Plate,Argentina,0.0,out,summer,Ligue 1,2003,False,
AS Monaco,Franck Jurietti,28,France,Left-Back,LB,,G. Bordeaux,France,0.0,out,summer,Ligue 1,2003,False,
AS Monaco,Vladimir Jugovic,33,Serbia,Left Midfield,LM,,Admira Wacker,Austria,0.0,out,summer,Ligue 1,2003,False,
AS Monaco,Bruno Irles,27,France,Centre-Back,CB,,Retired,,0.0,out,summer,Ligue 1,2003,False,
AS Monaco,Cédric Stoll,21,France,attack,attack,,Schiltigheim,France,0.0,out,summer,Ligue 1,2003,False,
AS Monaco,Pontus Farnerud,23,Sweden,Central Midfield,CM,,R. Strasbourg,France,0.0,out,summer,Ligue 1,2003,True,free loan
AS Monaco,Diego Ramiro Quintero,25,Argentina,Centre-Forward,CF,,AC Bellinzona,Switzerland,,out,summer,Ligue 1,2003,False,
AS Monaco,Éric Cubilier,23,France,Right-Back,RB,,Paris SG,France,0.0,out,summer,Ligue 1,2003,True,free loan
AS Monaco,José-Karl Pierre-Fanfan,27,Martinique,Centre-Back,CB,,Paris SG,France,0.0,out,summer,Ligue 1,2003,True,free loan
AS Monaco,Abel Thermeus,20,Haiti,Centre-Forward,CF,,US Créteil-L,France,,out,summer,Ligue 1,2003,False,
AS Monaco,Mazhar Abdelrahman,26,Egypt,attack,attack,,LB Châteauroux,France,0.0,out,summer,Ligue 1,2003,True,free loan
AS Monaco,Marco Simone,34,Italy,Centre-Forward,CF,,Without Club,,,out,summer,Ligue 1,2003,False,
AS Monaco,Philippe Léonard,29,Belgium,Left-Back,LB,,OGC Nice,France,0.0,out,winter,Ligue 1,2003,True,free loan
AS Monaco,Souleymane Camara,21,Senegal,Right Winger,RW,,Guingamp,France,0.0,out,winter,Ligue 1,2003,True,free loan
AS Monaco,Sébastien Carole,21,Martinique,Right Winger,RW,,West Ham,England,0.0,out,winter,Ligue 1,2003,True,free loan
AS Monaco,Mazhar Abdelrahman,27,Egypt,attack,attack,,JS Sainty,China,,out,winter,Ligue 1,2003,False,
EA Guingamp,Moumouni Dagano,22,Burkina Faso,Centre-Forward,CF,,KRC Genk,Belgium,1800000.0,in,summer,Ligue 1,2003,False,
EA Guingamp,Ricardo Cabanas,24,Switzerland,Central Midfield,CM,,Grasshoppers,Switzerland,0.0,in,summer,Ligue 1,2003,False,
EA Guingamp,Nicolas Goussé,27,France,Centre-Forward,CF,,Troyes,France,0.0,in,summer,Ligue 1,2003,False,
EA Guingamp,Oumar Tchomogo,25,Benin,Attacking Midfield,AM,,ASOA Valence,France,0.0,in,summer,Ligue 1,2003,False,
EA Guingamp,Yann Jouffre,18,France,Right Midfield,RM,,Nîmes Olympique,France,0.0,in,summer,Ligue 1,2003,False,
EA Guingamp,Jérôme Leroy,28,France,Attacking Midfield,AM,,Paris SG,France,0.0,in,summer,Ligue 1,2003,False,
