club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Albacete Balompié,Manuel Almunia,26.0,Spain,Goalkeeper,GK,,Celta de Vigo,Spain,300000.0,in,summer,Laliga,2003,True,loan with fee
Albacete Balompié,Carlos Aranda,22.0,Spain,Centre-Forward,CF,,Villarreal,Spain,0.0,in,summer,Laliga,2003,False,
Albacete Balompié,Unai Vergara,26.0,Spain,Centre-Back,CB,,Villarreal,Spain,0.0,in,summer,Laliga,2003,False,
Albacete Balompié,Fabiano,25.0,Brazil,Central Midfield,CM,,Santos FC,Brazil,0.0,in,summer,Laliga,2003,False,
Albacete Balompié,Lawal,22.0,Nigeria,Right Midfield,RM,,CD Leganés,Spain,,in,summer,Laliga,2003,False,
Albacete Balompié,Pablo Redondo,21.0,Spain,Attacking Midfield,AM,,Valencia,Spain,,in,summer,Laliga,2003,False,
Albacete Balompié,Gabriel Amato,32.0,Argentina,Centre-Forward,CF,,Levante,Spain,,in,summer,Laliga,2003,False,
Albacete Balompié,David Sánchez,20.0,Spain,Central Midfield,CM,,FC Barcelona B,Spain,0.0,in,summer,Laliga,2003,True,free loan
Albacete Balompié,Cristian Díaz,27.0,Argentina,Left-Back,LB,,Levante,Spain,,in,summer,Laliga,2003,False,
Albacete Balompié,Cacá,24.0,Brazil,Centre-Forward,CF,,Mirassol-SP,Brazil,,in,summer,Laliga,2003,False,
Albacete Balompié,Antonio Pacheco,27.0,Uruguay,Second Striker,SS,,Inter,Italy,0.0,in,summer,Laliga,2003,True,free loan
Albacete Balompié,Emmanuel Amunike,32.0,Nigeria,Left Winger,LW,,Al-Wehdat,Jordan,0.0,out,summer,Laliga,2003,False,
Albacete Balompié,Carlos Duré,32.0,Argentina,Centre-Forward,CF,,Olimpo,Argentina,,out,summer,Laliga,2003,False,
Albacete Balompié,José Padilla,33.0,Spain,Left-Back,LB,,Terrassa FC,Spain,,out,summer,Laliga,2003,False,
Albacete Balompié,Jandro,24.0,Spain,Attacking Midfield,AM,,Celta de Vigo,Spain,0.0,out,summer,Laliga,2003,True,end of loan
Albacete Balompié,Jesús Perera,23.0,Spain,Centre-Forward,CF,,RCD Mallorca,Spain,0.0,out,summer,Laliga,2003,True,end of loan
Albacete Balompié,Fernando Navarro,21.0,Spain,Left-Back,LB,,FC Barcelona,Spain,0.0,in,winter,Laliga,2003,True,free loan
Albacete Balompié,Fabiano,25.0,Brazil,Central Midfield,CM,,Salernitana,Italy,0.0,out,winter,Laliga,2003,False,
Albacete Balompié,Gabriel Amato,33.0,Argentina,Centre-Forward,CF,,CA Banfield,Argentina,,out,winter,Laliga,2003,False,
Albacete Balompié,Cristian Díaz,27.0,Argentina,Left-Back,LB,,Ciudad Murcia,Spain,,out,winter,Laliga,2003,False,
Albacete Balompié,Cacá,24.0,Brazil,Centre-Forward,CF,,Coimbra,Portugal,0.0,out,winter,Laliga,2003,True,free loan
Athletic Bilbao,Bittor Alkiza,32.0,Spain,Left Midfield,LM,,Real Sociedad,Spain,0.0,out,summer,Laliga,2003,False,
Athletic Bilbao,Aritz Aduriz,22.0,Spain,Centre-Forward,CF,,Burgos CF,Spain,0.0,out,summer,Laliga,2003,False,
Athletic Bilbao,Iñigo Larrainzar,32.0,Spain,Right-Back,RB,,Córdoba CF,Spain,,out,summer,Laliga,2003,False,
Athletic Bilbao,Aitor Ocio,26.0,Spain,Centre-Back,CB,,Sevilla FC,Spain,,out,summer,Laliga,2003,False,
Athletic Bilbao,Carlos García,32.0,Spain,Defensive Midfield,DM,,Retired,,,out,summer,Laliga,2003,False,
Athletic Bilbao,Josu Urrutia,35.0,Spain,Defensive Midfield,DM,,Retired,,,out,summer,Laliga,2003,False,
Athletic Bilbao,Carlos Merino,23.0,Spain,Attacking Midfield,AM,,CD Numancia,Spain,0.0,out,winter,Laliga,2003,False,
Atlético Madrid,Ariel Ibagaza,26.0,Argentina,Attacking Midfield,AM,,RCD Mallorca,Spain,5000000.0,in,summer,Laliga,2003,False,
Atlético Madrid,Kiki Musampa,25.0,Netherlands,Left Winger,LW,,Málaga CF,Spain,3000000.0,in,summer,Laliga,2003,False,
Atlético Madrid,Diego Rivas,23.0,Spain,Central Midfield,CM,,Getafe,Spain,0.0,in,summer,Laliga,2003,False,
Atlético Madrid,Gaspar Gálvez,23.0,Spain,Centre-Back,CB,,Real Valladolid,Spain,0.0,in,summer,Laliga,2003,False,
Atlético Madrid,Diego Simeone,33.0,Argentina,Central Midfield,CM,,Lazio,Italy,0.0,in,summer,Laliga,2003,False,
Atlético Madrid,Demis Nikolaidis,29.0,Greece,Centre-Forward,CF,,AEK Athens,Greece,0.0,in,summer,Laliga,2003,False,
Atlético Madrid,Nano,21.0,Spain,Centre-Back,CB,,FC Barcelona,Spain,0.0,in,summer,Laliga,2003,False,
Atlético Madrid,Álvaro Novo,25.0,Spain,Right Midfield,RM,,RCD Mallorca,Spain,,in,summer,Laliga,2003,False,
Atlético Madrid,Gonzalo de los Santos,26.0,Uruguay,Defensive Midfield,DM,,Valencia,Spain,0.0,in,summer,Laliga,2003,True,free loan
Atlético Madrid,Matías Lequi,22.0,Argentina,Centre-Back,CB,,River Plate,Argentina,,in,summer,Laliga,2003,False,
Atlético Madrid,Sergio Sánchez,26.0,Spain,Goalkeeper,GK,,Espanyol,Spain,,in,summer,Laliga,2003,False,
Atlético Madrid,Émerson,31.0,Brazil,Defensive Midfield,DM,,Rangers,Scotland,0.0,out,summer,Laliga,2003,False,
Atlético Madrid,Txomin Nagore,28.0,Spain,Central Midfield,CM,,RCD Mallorca,Spain,0.0,out,summer,Laliga,2003,False,
Atlético Madrid,Fernando Correa,29.0,Uruguay,Centre-Forward,CF,,RCD Mallorca,Spain,0.0,out,summer,Laliga,2003,False,
Atlético Madrid,Esteban,28.0,Spain,Goalkeeper,GK,,Sevilla FC,Spain,,out,summer,Laliga,2003,False,
Atlético Madrid,Lluís Carreras,30.0,Spain,Left-Back,LB,,Real Murcia,Spain,,out,summer,Laliga,2003,False,
Atlético Madrid,Jovan Stankovic,32.0,Serbia,Left Midfield,LM,,RCD Mallorca,Spain,,out,summer,Laliga,2003,False,
Atlético Madrid,Carlos Llorens,34.0,Spain,Left-Back,LB,,Poli Ejido,Spain,,out,summer,Laliga,2003,False,
Atlético Madrid,Armando,32.0,Spain,Right-Back,RB,,Retired,,,out,summer,Laliga,2003,False,
Atlético Madrid,Dani,26.0,Portugal,Attacking Midfield,AM,,Retired,,,out,summer,Laliga,2003,False,
Atlético Madrid,Fabricio Coloccini,21.0,Argentina,Centre-Back,CB,,Milan,Italy,0.0,out,summer,Laliga,2003,True,end of loan
Atlético Madrid,José Mari,24.0,Spain,Centre-Forward,CF,,Milan,Italy,0.0,out,summer,Laliga,2003,True,end of loan
Atlético Madrid,Demetrio Albertini,31.0,Italy,Defensive Midfield,DM,,Milan,Italy,0.0,out,summer,Laliga,2003,True,end of loan
Atlético Madrid,Luis García,25.0,Spain,Right Winger,RW,,FC Barcelona,Spain,0.0,out,summer,Laliga,2003,True,end of loan
Atlético Madrid,Rubén Olivera,20.0,Uruguay,Central Midfield,CM,,Juventus,Italy,0.0,in,winter,Laliga,2003,True,free loan
Atlético Madrid,Javier Pinola,20.0,Argentina,Centre-Back,CB,,Racing Club,Argentina,250000.0,out,winter,Laliga,2003,True,loan with fee
Atlético Madrid,Javi Moreno,29.0,Spain,Centre-Forward,CF,,Bolton,England,0.0,out,winter,Laliga,2003,True,free loan
Atlético Madrid,José María Movilla,28.0,Spain,Defensive Midfield,DM,,Real Zaragoza,Spain,0.0,out,winter,Laliga,2003,True,free loan
Atlético Madrid,Pinda,27.0,Spain,Goalkeeper,GK,,Royal Antwerp,Belgium,0.0,out,winter,Laliga,2003,True,free loan
Atlético Madrid,Mirsad Hibic,30.0,Bosnia-Herzegovina,Centre-Back,CB,,Retired,,,out,winter,Laliga,2003,False,
CA Osasuna,Valdo,22.0,Cape Verde,Right Winger,RW,,Real Madrid,Spain,1800000.0,in,summer,Laliga,2003,False,
CA Osasuna,Carlos Cuéllar,21.0,Spain,Centre-Back,CB,,CD Numancia,Spain,0.0,in,summer,Laliga,2003,False,
CA Osasuna,Unai Expósito,23.0,Spain,Right-Back,RB,,CD Numancia,Spain,0.0,in,summer,Laliga,2003,False,
CA Osasuna,Ibrahima Bakayoko,26.0,Cote d'Ivoire,Centre-Forward,CF,,Marseille,France,0.0,in,summer,Laliga,2003,False,
CA Osasuna,Gorka García,28.0,Spain,Left-Back,LB,,Córdoba CF,Spain,,in,summer,Laliga,2003,False,
CA Osasuna,Julio César Pinheiro,26.0,Brazil,Left Midfield,LM,,CD Cruz Azul,Mexico,,in,summer,Laliga,2003,False,
CA Osasuna,Mikel Pagola,21.0,Spain,Goalkeeper,GK,,Ponferradina,Spain,0.0,out,summer,Laliga,2003,False,
CA Osasuna,Rafael Olarra,25.0,Chile,Centre-Back,CB,,Independiente,Argentina,0.0,out,summer,Laliga,2003,True,free loan
CA Osasuna,José Manuel Yanguas,31.0,Spain,Right-Back,RB,,Getafe,Spain,,out,summer,Laliga,2003,False,
CA Osasuna,Manuel Vidrio,30.0,Mexico,Centre-Back,CB,,CF Pachuca,Mexico,,out,summer,Laliga,2003,False,
CA Osasuna,Gorka Brit,25.0,Spain,Centre-Forward,CF,,SD Eibar,Spain,,out,summer,Laliga,2003,False,
CA Osasuna,Juan Carlos Unzué,36.0,Spain,Goalkeeper,GK,,Retired,,,out,summer,Laliga,2003,False,
CA Osasuna,Christian Manfredini,28.0,Cote d'Ivoire,Left Winger,LW,,Lazio,Italy,0.0,out,summer,Laliga,2003,True,end of loan
CA Osasuna,Leonel Gancedo,32.0,Argentina,Left Midfield,LM,,Real Murcia,Spain,0.0,out,winter,Laliga,2003,False,
CA Osasuna,Julio César Pinheiro,27.0,Brazil,Left Midfield,LM,,Atlas,Mexico,,out,winter,Laliga,2003,False,
Celta de Vigo,Savo Milosevic,29.0,Serbia,Centre-Forward,CF,,AC Parma,Italy,2000000.0,in,summer,Laliga,2003,True,loan with fee
Celta de Vigo,Dani Bautista,22.0,Spain,Left-Back,LB,,Sevilla B,Spain,0.0,in,summer,Laliga,2003,False,
Celta de Vigo,Manolo Sánchez,27.0,Spain,Left-Back,LB,,CD Numancia,Spain,,in,summer,Laliga,2003,False,
Celta de Vigo,Benni McCarthy,25.0,South Africa,Centre-Forward,CF,,FC Porto,Portugal,3500000.0,out,summer,Laliga,2003,False,
Celta de Vigo,Manuel Almunia,26.0,Spain,Goalkeeper,GK,,Albacete,Spain,300000.0,out,summer,Laliga,2003,True,loan with fee
Celta de Vigo,Doriva,31.0,Brazil,Right Midfield,RM,,Middlesbrough,England,200000.0,out,summer,Laliga,2003,False,
Celta de Vigo,Pablo Coira,23.0,Spain,Right-Back,RB,,Alavés,Spain,0.0,out,summer,Laliga,2003,False,
Celta de Vigo,Yago Yao,23.0,Equatorial Guinea,Centre-Back,CB,,Sporting Gijón,Spain,0.0,out,summer,Laliga,2003,True,free loan
Celta de Vigo,Eduardo Coudet,28.0,Argentina,Right Midfield,RM,,River Plate,Argentina,,out,summer,Laliga,2003,False,
Celta de Vigo,Mido,20.0,Egypt,Centre-Forward,CF,,Ajax,Netherlands,0.0,out,summer,Laliga,2003,True,end of loan
Celta de Vigo,Sasa Ilic,26.0,Serbia,Central Midfield,CM,,Partizan,Serbia,500000.0,in,winter,Laliga,2003,True,loan with fee
Celta de Vigo,Mauricio Pinilla,19.0,Chile,Centre-Forward,CF,,Inter,Italy,0.0,in,winter,Laliga,2003,True,free loan
Celta de Vigo,Catanha,31.0,Brazil,Centre-Forward,CF,,KS Samara,Russia,0.0,out,winter,Laliga,2003,True,free loan
Celta de Vigo,Iván Kaviedes,26.0,Ecuador,Centre-Forward,CF,,Barcelona SC,Ecuador,,out,winter,Laliga,2003,False,
Deportivo de La Coruña,Gustavo Munúa,25.0,Uruguay,Goalkeeper,GK,,Nacional,Uruguay,2500000.0,in,summer,Laliga,2003,False,
Deportivo de La Coruña,Pedro Munitis,28.0,Spain,Second Striker,SS,,Real Madrid,Spain,,in,summer,Laliga,2003,False,
Deportivo de La Coruña,Jacques Songo'o,39.0,Cameroon,Goalkeeper,GK,,FC Metz,France,,in,summer,Laliga,2003,False,
Deportivo de La Coruña,Roy Makaay,28.0,Netherlands,Centre-Forward,CF,,FC Bayern,Germany,19750000.0,out,summer,Laliga,2003,False,
Deportivo de La Coruña,Dani Mallo,24.0,Spain,Goalkeeper,GK,,Elche CF,Spain,0.0,out,summer,Laliga,2003,True,free loan
Deportivo de La Coruña,Changui,26.0,Spain,Centre-Forward,CF,,UD Las Palmas,Spain,0.0,out,summer,Laliga,2003,True,free loan
Deportivo de La Coruña,Juanmi,32.0,Spain,Goalkeeper,GK,,Real Murcia,Spain,,out,summer,Laliga,2003,False,
Deportivo de La Coruña,Goran Djorovic,31.0,Serbia,Centre-Back,CB,,Elche CF,Spain,0.0,out,summer,Laliga,2003,True,free loan
Deportivo de La Coruña,Iván Pérez,27.0,Spain,Centre-Forward,CF,,Nacional,Portugal,0.0,out,summer,Laliga,2003,True,free loan
Deportivo de La Coruña,Fernando,31.0,Spain,Left Midfield,LM,,Córdoba CF,Spain,0.0,out,summer,Laliga,2003,True,free loan
Deportivo de La Coruña,José Manuel,29.0,Spain,Right Midfield,RM,,Poli Ejido,Spain,0.0,out,summer,Laliga,2003,True,free loan
Deportivo de La Coruña,Sebastián Abreu,26.0,Uruguay,Centre-Forward,CF,,América,Mexico,0.0,out,summer,Laliga,2003,True,free loan
