club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Belenenses SAD,Matija Ljujic,24,Serbia,Attacking Midfield,AM,250000.0,Wellington P.,Australia,0.0,in,summer,Primeira Liga,2018,False,
Belenenses SAD,Luís Silva,19,Portugal,Centre-Back,CB,,Stoke U23,England,0.0,in,summer,Primeira Liga,2018,False,
Belenenses SAD,Mika,27,Portugal,Goalkeeper,GK,,Leiria,Portugal,0.0,in,summer,Primeira Liga,2018,False,
Belenenses SAD,Zakarya Bergdich,29,Morocco,Left-Back,LB,400000.0,FC Sochaux,France,0.0,in,summer,Primeira Liga,2018,False,
Belenenses SAD,Pierre Sagna,27,Senegal,Right-Back,RB,800000.0,Moreirense,Portugal,0.0,in,summer,Primeira Liga,2018,False,
Belenenses SAD,Nuno Coelho,30,Portugal,Centre-Back,CB,400000.0,Arouca,Portugal,0.0,in,summer,Primeira Liga,2018,False,
Belenenses SAD,Bruno Sales,23,Portugal,Centre-Back,CB,,Torreense,Portugal,0.0,in,summer,Primeira Liga,2018,False,
Belenenses SAD,Kikas,19,Portugal,Centre-Forward,CF,,Castelo Branco,Portugal,,in,summer,Primeira Liga,2018,False,
Belenenses SAD,Jonatan Lucca,24,Brazil,Central Midfield,CM,250000.0,Pune City,India,,in,summer,Primeira Liga,2018,False,
Belenenses SAD,Eduardo Henrique,23,Brazil,Defensive Midfield,DM,700000.0,Internacional,Brazil,0.0,in,summer,Primeira Liga,2018,True,free loan
Belenenses SAD,Henrique Almeida,27,Brazil,Centre-Forward,CF,700000.0,Grêmio,Brazil,0.0,in,summer,Primeira Liga,2018,True,free loan
Belenenses SAD,Reinildo Mandava,24,Mozambique,Left-Back,LB,425000.0,Benfica B,Portugal,,in,summer,Primeira Liga,2018,False,
Belenenses SAD,Alhassane Keita,26,Guinea,Centre-Forward,CF,600000.0,Marítimo,Portugal,,in,summer,Primeira Liga,2018,False,
Belenenses SAD,Dálcio,22,Portugal,Attacking Midfield,AM,350000.0,Benfica B,Portugal,0.0,in,summer,Primeira Liga,2018,True,free loan
Belenenses SAD,André Santos,29,Portugal,Defensive Midfield,DM,400000.0,Without Club,,,in,summer,Primeira Liga,2018,False,
Belenenses SAD,Ousmane Dramé,26,France,Left Winger,LW,500000.0,Without Club,,,in,summer,Primeira Liga,2018,False,
Belenenses SAD,Maurides,24,Brazil,Centre-Forward,CF,1250000.0,CSKA-Sofia,Bulgaria,300000.0,out,summer,Primeira Liga,2018,False,
Belenenses SAD,Benny,21,Portugal,Right Winger,RW,400000.0,Benfica B,Portugal,0.0,out,summer,Primeira Liga,2018,True,free loan
Belenenses SAD,Yazalde,29,Guinea-Bissau,Centre-Forward,CF,200000.0,Gaz Metan,Romania,0.0,out,summer,Primeira Liga,2018,False,
Belenenses SAD,Bruno Pereirinha,30,Portugal,Right Winger,RW,400000.0,Cova Piedade,Portugal,0.0,out,summer,Primeira Liga,2018,False,
