club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
AS Monaco,Keita Baldé,22,Senegal,Left Winger,LW,25000000.0,Lazio,Italy,30000000.0,in,summer,Ligue 1,2017,False,
AS Monaco,Youri Tielemans,20,Belgium,Central Midfield,CM,22000000.0,RSC Anderlecht,Belgium,26200000.0,in,summer,Ligue 1,2017,False,
AS Monaco,Terence Kongolo,23,Netherlands,Centre-Back,CB,10000000.0,Feyenoord,Netherlands,15000000.0,in,summer,Ligue 1,2017,False,
AS Monaco,Stevan Jovetic,27,Montenegro,Centre-Forward,CF,10000000.0,Inter,Italy,10500000.0,in,summer,Ligue 1,2017,False,
AS Monaco,Adama Diakhaby,21,France,Left Winger,LW,1500000.0,Stade Rennais,France,10000000.0,in,summer,Ligue 1,2017,False,
AS Monaco,Soualiho Meïté,23,France,Central Midfield,CM,7000000.0,Zulte Waregem,Belgium,8000000.0,in,summer,Ligue 1,2017,False,
AS Monaco,Jordi Mboula,18,Spain,Right Winger,RW,,Barça U19,Spain,3000000.0,in,summer,Ligue 1,2017,False,
AS Monaco,Jordy Gaspar,20,France,Right-Back,RB,400000.0,Olympique Lyon,France,0.0,in,summer,Ligue 1,2017,False,
AS Monaco,Diego Benaglio,33,Switzerland,Goalkeeper,GK,1000000.0,VfL Wolfsburg,Germany,0.0,in,summer,Ligue 1,2017,False,
AS Monaco,Rachid Ghezzal,25,Algeria,Right Winger,RW,8000000.0,Olympique Lyon,France,0.0,in,summer,Ligue 1,2017,False,
AS Monaco,Benjamin Mendy,23,France,Left-Back,LB,13000000.0,Man City,England,57500000.0,out,summer,Ligue 1,2017,False,
AS Monaco,Bernardo Silva,22,Portugal,Attacking Midfield,AM,40000000.0,Man City,England,50000000.0,out,summer,Ligue 1,2017,False,
AS Monaco,Tiemoué Bakayoko,22,France,Defensive Midfield,DM,16000000.0,Chelsea,England,40000000.0,out,summer,Ligue 1,2017,False,
AS Monaco,Allan Saint-Maximin,20,France,Left Winger,LW,3000000.0,OGC Nice,France,10000000.0,out,summer,Ligue 1,2017,False,
AS Monaco,Valère Germain,27,France,Centre-Forward,CF,10000000.0,Marseille,France,8000000.0,out,summer,Ligue 1,2017,False,
AS Monaco,Abdou Diallo,21,Senegal,Centre-Back,CB,1000000.0,1.FSV Mainz 05,Germany,5000000.0,out,summer,Ligue 1,2017,False,
AS Monaco,Nabil Dirar,31,Morocco,Right Winger,RW,2000000.0,Fenerbahce,Turkey,3500000.0,out,summer,Ligue 1,2017,False,
AS Monaco,Corentin Jean,21,France,Centre-Forward,CF,2500000.0,Toulouse,France,3500000.0,out,summer,Ligue 1,2017,False,
AS Monaco,Kylian Mbappé,18,France,Centre-Forward,CF,35000000.0,Paris SG,France,0.0,out,summer,Ligue 1,2017,True,free loan
AS Monaco,Youssef Aït Bennasser,21,Morocco,Central Midfield,CM,3000000.0,SM Caen,France,0.0,out,summer,Ligue 1,2017,True,free loan
AS Monaco,Irvin Cardona,19,France,Centre-Forward,CF,,Cercle Brugge,Belgium,0.0,out,summer,Ligue 1,2017,True,free loan
AS Monaco,Jonathan Mexique,22,France,Central Midfield,CM,400000.0,Cercle Brugge,Belgium,0.0,out,summer,Ligue 1,2017,True,free loan
AS Monaco,Jordy Gaspar,20,France,Right-Back,RB,400000.0,Cercle Brugge,Belgium,0.0,out,summer,Ligue 1,2017,True,free loan
AS Monaco,Rúben Vinagre,18,Portugal,Left-Back,LB,25000.0,Wolves,England,0.0,out,summer,Ligue 1,2017,True,free loan
AS Monaco,Elderson,29,Nigeria,Left-Back,LB,1000000.0,Sivasspor,Turkey,0.0,out,summer,Ligue 1,2017,True,free loan
AS Monaco,Gil Dias,20,Portugal,Right Winger,RW,2000000.0,Fiorentina,Italy,0.0,out,summer,Ligue 1,2017,True,free loan
AS Monaco,Lacina Traore,27,Cote d'Ivoire,Centre-Forward,CF,2500000.0,Amiens SC,France,0.0,out,summer,Ligue 1,2017,True,free loan
AS Monaco,Morgan De Sanctis,40,Italy,Goalkeeper,GK,250000.0,Retired,,,out,summer,Ligue 1,2017,False,
AS Monaco,Pietro Pellegri,16,Italy,Centre-Forward,CF,8000000.0,Genoa,Italy,20900000.0,in,winter,Ligue 1,2017,False,
AS Monaco,Guido Carrillo,26,Argentina,Centre-Forward,CF,6000000.0,Southampton,England,22000000.0,out,winter,Ligue 1,2017,False,
AS Monaco,Jonathan Mexique,22,France,Central Midfield,CM,350000.0,Tours FC,France,0.0,out,winter,Ligue 1,2017,True,free loan
AS Monaco,Soualiho Meïté,23,France,Central Midfield,CM,7000000.0,G. Bordeaux,France,0.0,out,winter,Ligue 1,2017,True,free loan
AS Monaco,Terence Kongolo,23,Netherlands,Centre-Back,CB,10000000.0,Huddersfield,England,0.0,out,winter,Ligue 1,2017,True,free loan
AS Monaco,Elderson,30,Nigeria,Left-Back,LB,1000000.0,Cercle Brugge,Belgium,0.0,out,winter,Ligue 1,2017,True,free loan
AS Saint-Étienne,Loïs Diony,24,France,Centre-Forward,CF,3000000.0,Dijon,France,10000000.0,in,summer,Ligue 1,2017,False,
AS Saint-Étienne,Assane Dioussé,19,Senegal,Defensive Midfield,DM,4000000.0,FC Empoli,Italy,5000000.0,in,summer,Ligue 1,2017,False,
AS Saint-Étienne,Gabriel Silva,26,Brazil,Left-Back,LB,2500000.0,Udinese Calcio,Italy,2500000.0,in,summer,Ligue 1,2017,False,
AS Saint-Étienne,Jorginho,21,Guinea-Bissau,Left Winger,LW,1500000.0,Arouca,Portugal,1000000.0,in,summer,Ligue 1,2017,False,
AS Saint-Étienne,Alexandros Katranis,19,Greece,Left-Back,LB,750000.0,Atromitos Athen,Greece,800000.0,in,summer,Ligue 1,2017,False,
AS Saint-Étienne,Saidy Janko,21,Switzerland,Right-Back,RB,500000.0,Celtic,Scotland,,in,summer,Ligue 1,2017,False,
AS Saint-Étienne,Hernani,23,Brazil,Defensive Midfield,DM,4000000.0,Zenit S-Pb,Russia,0.0,in,summer,Ligue 1,2017,True,free loan
AS Saint-Étienne,Rémy Cabella,27,France,Attacking Midfield,AM,7500000.0,Marseille,France,0.0,in,summer,Ligue 1,2017,True,free loan
AS Saint-Étienne,Kévin Malcuit,25,France,Right-Back,RB,3000000.0,LOSC Lille,France,9000000.0,out,summer,Ligue 1,2017,False,
AS Saint-Étienne,Neal Maupay,20,France,Centre-Forward,CF,2000000.0,Brentford,England,2000000.0,out,summer,Ligue 1,2017,False,
AS Saint-Étienne,Fabien Lemoine,30,France,Defensive Midfield,DM,2000000.0,FC Lorient,France,1000000.0,out,summer,Ligue 1,2017,False,
AS Saint-Étienne,Benjamin Corgnet,30,France,Attacking Midfield,AM,1000000.0,R. Strasbourg,France,0.0,out,summer,Ligue 1,2017,False,
AS Saint-Étienne,Pierre-Yves Polomat,23,Martinique,Left-Back,LB,1500000.0,AJ Auxerre,France,0.0,out,summer,Ligue 1,2017,True,free loan
AS Saint-Étienne,Dylan Saint-Louis,22,Congo,Left Winger,LW,700000.0,Paris FC,France,0.0,out,summer,Ligue 1,2017,False,
AS Saint-Étienne,Arnaud Nordin,19,France,Left Winger,LW,600000.0,AS Nancy,France,0.0,out,summer,Ligue 1,2017,True,free loan
AS Saint-Étienne,Jérémy Clément,32,France,Defensive Midfield,DM,1000000.0,AS Nancy,France,0.0,out,summer,Ligue 1,2017,False,
AS Saint-Étienne,Oussama Tannane,23,Morocco,Attacking Midfield,AM,3000000.0,UD Las Palmas,Spain,0.0,out,summer,Ligue 1,2017,True,free loan
AS Saint-Étienne,Nolan Roux,29,France,Centre-Forward,CF,2500000.0,FC Metz,France,,out,summer,Ligue 1,2017,False,
AS Saint-Étienne,Jorginho,21,Guinea-Bissau,Left Winger,LW,1500000.0,Chaves,Portugal,0.0,out,summer,Ligue 1,2017,True,free loan
AS Saint-Étienne,Robert Beric,26,Slovenia,Centre-Forward,CF,4500000.0,RSC Anderlecht,Belgium,0.0,out,summer,Ligue 1,2017,True,free loan
AS Saint-Étienne,Henri Saivet,26,Senegal,Attacking Midfield,AM,5000000.0,Newcastle,England,0.0,out,summer,Ligue 1,2017,True,end of loan
AS Saint-Étienne,Jordan Veretout,24,France,Central Midfield,CM,9000000.0,Aston Villa,England,0.0,out,summer,Ligue 1,2017,True,end of loan
