club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Académica Coimbra,Rui Miguel,27,Portugal,Centre-Forward,CF,250000.0,Kilmarnock FC,Scotland,0.0,in,summer,Primeira Liga,2011,False,
Académica Coimbra,Cédric Soares,19,Portugal,Right-Back,RB,1100000.0,Sporting CP,Portugal,0.0,in,summer,Primeira Liga,2011,True,free loan
Académica Coimbra,João Real,28,Portugal,Centre-Back,CB,400000.0,Naval,Portugal,0.0,in,summer,Primeira Liga,2011,False,
Académica Coimbra,Marinho,28,Portugal,Right Winger,RW,1300000.0,Naval,Portugal,0.0,in,summer,Primeira Liga,2011,False,
Académica Coimbra,João Dias,24,Portugal,Right-Back,RB,300000.0,Trofense,Portugal,0.0,in,summer,Primeira Liga,2011,False,
Académica Coimbra,Fábio Luis,27,Brazil,Centre-Forward,CF,,Porto Alegre,Brazil,0.0,in,summer,Primeira Liga,2011,False,
Académica Coimbra,Diogo Valente,26,Portugal,Left Winger,LW,800000.0,Braga,Portugal,0.0,in,summer,Primeira Liga,2011,False,
Académica Coimbra,Abdoulaye Ba,20,Senegal,Centre-Back,CB,600000.0,FC Porto,Portugal,0.0,in,summer,Primeira Liga,2011,True,free loan
Académica Coimbra,Jerry Sitoe,20,Mozambique,Left Winger,LW,,Muçulmana,Mozambique,0.0,in,summer,Primeira Liga,2011,False,
Académica Coimbra,Danilo Cintra,26,Brazil,Attacking Midfield,AM,,Macaé,Brazil,0.0,in,summer,Primeira Liga,2011,True,free loan
Académica Coimbra,Nivaldo,22,Cape Verde,Left Midfield,LM,,GD Tourizense,Portugal,,in,summer,Primeira Liga,2011,False,
Académica Coimbra,Modou Sougou,26,Senegal,Right Winger,RW,2300000.0,CFR Cluj,Romania,300000.0,out,summer,Primeira Liga,2011,False,
Académica Coimbra,Amaury Bischoff,24,Portugal,Central Midfield,CM,400000.0,Desportivo Aves,Portugal,0.0,out,summer,Primeira Liga,2011,False,
Académica Coimbra,Pedrinho,26,Portugal,Right-Back,RB,1300000.0,FC Lorient,France,0.0,out,summer,Primeira Liga,2011,False,
Académica Coimbra,Bruno Silva,20,Portugal,Left-Back,LB,,Sertanense,Portugal,0.0,out,summer,Primeira Liga,2011,False,
Académica Coimbra,Gerso,20,Guinea-Bissau,Left Winger,LW,,Estoril Praia,Portugal,0.0,out,summer,Primeira Liga,2011,False,
Académica Coimbra,Diogo Ribeiro,20,Portugal,Centre-Forward,CF,,Sertanense,Portugal,0.0,out,summer,Primeira Liga,2011,True,free loan
Académica Coimbra,Gonçalo,24,Portugal,Defensive Midfield,DM,200000.0,Estoril Praia,Portugal,0.0,out,summer,Primeira Liga,2011,False,
Académica Coimbra,Pedro Costa,29,Portugal,Right-Back,RB,700000.0,Arouca,Portugal,0.0,out,summer,Primeira Liga,2011,False,
Académica Coimbra,Miguel Fidalgo,29,Portugal,Centre-Forward,CF,1500000.0,Vitória Setúbal,Portugal,0.0,out,summer,Primeira Liga,2011,False,
Académica Coimbra,Amoreirinha,26,Portugal,Centre-Back,CB,800000.0,Vitória Setúbal,Portugal,0.0,out,summer,Primeira Liga,2011,False,
Académica Coimbra,Ricardo Alves,20,Portugal,Centre-Back,CB,,Marítimo B,Portugal,0.0,out,summer,Primeira Liga,2011,False,
Académica Coimbra,Licá,22,Portugal,Left Winger,LW,450000.0,Estoril Praia,Portugal,0.0,out,summer,Primeira Liga,2011,False,
Académica Coimbra,Christo Amessan,20,Cote d'Ivoire,Left Winger,LW,300000.0,US Créteil-L,France,0.0,out,summer,Primeira Liga,2011,True,free loan
Académica Coimbra,Nuno Coelho,23,Portugal,Centre-Back,CB,1500000.0,Benfica,Portugal,0.0,out,summer,Primeira Liga,2011,False,
Académica Coimbra,Enrique Carreño,24,Spain,Centre-Forward,CF,100000.0,Diósgyőr,Hungary,,out,summer,Primeira Liga,2011,False,
Académica Coimbra,Patrick Vouho,24,Cote d'Ivoire,Centre-Forward,CF,400000.0,AEL Limassol,Cyprus,,out,summer,Primeira Liga,2011,False,
Académica Coimbra,Gaoussou Fofana,27,Cote d'Ivoire,Right Winger,RW,300000.0,Covilhã,Portugal,,out,summer,Primeira Liga,2011,False,
Académica Coimbra,Paulo Grilo,19,Portugal,Defensive Midfield,DM,100000.0,Santa Clara,Portugal,0.0,out,summer,Primeira Liga,2011,True,free loan
Académica Coimbra,João Guerra,19,Portugal,Goalkeeper,GK,,Marítimo,Portugal,,out,summer,Primeira Liga,2011,False,
Académica Coimbra,Bassalia Ouattara,19,Cote d'Ivoire,Left Winger,LW,,Gondomar,Portugal,0.0,out,summer,Primeira Liga,2011,True,free loan
Académica Coimbra,João Barroca,24,Portugal,Goalkeeper,GK,100000.0,Servette FC,Switzerland,,out,summer,Primeira Liga,2011,False,
Académica Coimbra,Luiz Nunes,30,Brazil,Centre-Back,CB,800000.0,Without Club,,,out,summer,Primeira Liga,2011,False,
Académica Coimbra,Laionel,25,Brazil,Right Winger,RW,500000.0,Anápolis-GO,Brazil,0.0,out,summer,Primeira Liga,2011,True,end of loan
Académica Coimbra,David Addy,21,Ghana,Left-Back,LB,500000.0,FC Porto,Portugal,0.0,out,summer,Primeira Liga,2011,True,end of loan
Académica Coimbra,Júnior Paraíba,23,Brazil,Central Midfield,CM,300000.0,Anápolis-GO,Brazil,0.0,out,summer,Primeira Liga,2011,True,end of loan
Académica Coimbra,Diogo Valente,26,Portugal,Left Winger,LW,800000.0,Braga,Portugal,0.0,out,summer,Primeira Liga,2011,True,end of loan
Académica Coimbra,Ghislain Mvom,19,Cameroon,Centre-Back,CB,,Fortuna du Mfou,Cameroon,0.0,in,winter,Primeira Liga,2011,False,
Académica Coimbra,David Simão,21,Portugal,Central Midfield,CM,1400000.0,Benfica,Portugal,0.0,in,winter,Primeira Liga,2011,True,free loan
