club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
AC Parma,Adriano,20,Brazil,Centre-Forward,CF,,Inter,Italy,14500000.0,in,summer,Serie A,2002,False,
AC Parma,Alberto Gilardino,19,Italy,Centre-Forward,CF,,Hellas Verona,Italy,12000000.0,in,summer,Serie A,2002,False,
AC Parma,Adrian Mutu,23,Romania,Centre-Forward,CF,,Hellas Verona,Italy,10000000.0,in,summer,Serie A,2002,False,
AC Parma,Mark Bresciano,22,Australia,Central Midfield,CM,,FC Empoli,Italy,7000000.0,in,summer,Serie A,2002,False,
AC Parma,Matteo Brighi,21,Italy,Central Midfield,CM,,Juventus,Italy,5000000.0,in,summer,Serie A,2002,False,
AC Parma,Florian Myrtaj,26,Albania,Centre-Forward,CF,,Teramo,Italy,800000.0,in,summer,Serie A,2002,False,
AC Parma,Christian Terlizzi,22,Italy,Centre-Back,CB,,Teramo,Italy,550000.0,in,summer,Serie A,2002,False,
AC Parma,Vratislav Gresko,24,Slovakia,Left-Back,LB,,Inter,Italy,0.0,in,summer,Serie A,2002,False,
AC Parma,Aimo Diana,24,Italy,Right Midfield,RM,,Brescia,Italy,,in,summer,Serie A,2002,False,
AC Parma,Massimo Donati,21,Italy,Defensive Midfield,DM,,Milan,Italy,0.0,in,summer,Serie A,2002,True,free loan
AC Parma,Gabriel Oyola,19,Argentina,Centre-Back,CB,,CA Talleres,Argentina,,in,summer,Serie A,2002,False,
AC Parma,Sebastiano Siviglia,29,Italy,Centre-Back,CB,,AS Roma,Italy,,in,summer,Serie A,2002,False,
AC Parma,Roberto Massaro,18,Italy,Centre-Forward,CF,,Florentia,Italy,,in,summer,Serie A,2002,False,
AC Parma,Matuzalém,22,Brazil,Defensive Midfield,DM,,Piacenza,Italy,,in,summer,Serie A,2002,False,
AC Parma,Alex Gibbs,18,Italy,Centre-Forward,CF,,Calcio Monza,Italy,,in,summer,Serie A,2002,False,
AC Parma,Daniele Bonera,21,Italy,Centre-Back,CB,,Brescia,Italy,,in,summer,Serie A,2002,False,
AC Parma,Emanuele Filippini,29,Italy,Central Midfield,CM,,Brescia,Italy,,in,summer,Serie A,2002,False,
AC Parma,Fabio Cannavaro,28,Italy,Centre-Back,CB,,Inter,Italy,23000000.0,out,summer,Serie A,2002,False,
AC Parma,Matías Almeyda,28,Argentina,Defensive Midfield,DM,,Inter,Italy,22100000.0,out,summer,Serie A,2002,False,
AC Parma,Martin Laursen,24,Denmark,Centre-Back,CB,,Milan,Italy,11000000.0,out,summer,Serie A,2002,False,
AC Parma,Marco Di Vaio,26,Italy,Centre-Forward,CF,,Juventus,Italy,7000000.0,out,summer,Serie A,2002,True,loan with fee
AC Parma,Stephen Appiah,21,Ghana,Defensive Midfield,DM,,Brescia,Italy,4550000.0,out,summer,Serie A,2002,False,
AC Parma,Savo Milosevic,28,Serbia,Centre-Forward,CF,,Espanyol,Spain,3000000.0,out,summer,Serie A,2002,True,loan with fee
AC Parma,Néstor Sensini,35,Argentina,Centre-Back,CB,,Udinese,Italy,0.0,out,summer,Serie A,2002,False,
AC Parma,Martin Djetou,27,France,Centre-Back,CB,,Fulham,England,0.0,out,summer,Serie A,2002,True,free loan
AC Parma,Zlatko Zebic,23,Jugoslawien (SFR),Attacking Midfield,AM,,MFK Košice,Slovakia,,out,summer,Serie A,2002,False,
AC Parma,Gianluca Falsini,26,Italy,Left-Back,LB,,Reggina,Italy,0.0,out,summer,Serie A,2002,True,free loan
AC Parma,Florian Myrtaj,26,Albania,Centre-Forward,CF,,Cesena,Italy,,out,summer,Serie A,2002,False,
AC Parma,Christian Terlizzi,22,Italy,Centre-Back,CB,,Cesena,Italy,,out,summer,Serie A,2002,False,
AC Parma,Francesco Ruopolo,19,Italy,Centre-Forward,CF,,Pro Patria,Italy,0.0,out,summer,Serie A,2002,True,free loan
AC Parma,Paolo Poggi,31,Italy,Centre-Forward,CF,,AC Venezia 1907,Italy,0.0,out,summer,Serie A,2002,True,free loan
AC Parma,Matuzalém,22,Brazil,Defensive Midfield,DM,,Brescia,Italy,,out,summer,Serie A,2002,False,
AC Parma,Johan Micoud,29,France,Attacking Midfield,AM,,Werder Bremen,Germany,,out,summer,Serie A,2002,False,
AC Parma,Gabriele Giaroli,21,Italy,Goalkeeper,GK,,Sassuolo,Italy,,out,summer,Serie A,2002,False,
AC Parma,Jonathan Bachini,27,Italy,Right Midfield,RM,,Brescia,Italy,,out,summer,Serie A,2002,False,
AC Parma,Andrea Staffolani,19,Italy,Centre-Forward,CF,,Vis Pesaro,Italy,0.0,out,summer,Serie A,2002,True,free loan
AC Parma,Johnnier Montaño,19,Colombia,Attacking Midfield,AM,,Piacenza,Italy,,out,summer,Serie A,2002,False,
AC Parma,Gaetano Grieco,19,Italy,Centre-Forward,CF,,FC Empoli,Italy,0.0,out,summer,Serie A,2002,True,free loan
AC Parma,Gianluca De Angelis,21,Italy,Centre-Forward,CF,,Hellas Verona,Italy,,out,summer,Serie A,2002,False,
AC Parma,Jorge Bolaño,25,Colombia,Central Midfield,CM,,Sampdoria,Italy,0.0,out,summer,Serie A,2002,True,free loan
AC Parma,Giampiero Maini,30,Italy,Defensive Midfield,DM,,Ancona,Italy,0.0,out,summer,Serie A,2002,True,free loan
AC Parma,Luigi Sartor,27,Italy,Right-Back,RB,,AS Roma,Italy,,out,summer,Serie A,2002,False,
AC Parma,Sergey Gurenko,29,Belarus,Right-Back,RB,,Piacenza,Italy,0.0,out,summer,Serie A,2002,True,free loan
AC Parma,Alain Boghossian,31,France,Central Midfield,CM,,Espanyol,Spain,,out,summer,Serie A,2002,False,
AC Parma,Hakan Sükür,30,Turkey,Centre-Forward,CF,,Without Club,,,out,summer,Serie A,2002,False,
AC Parma,Aimo Diana,24,Italy,Right Midfield,RM,,Brescia,Italy,0.0,out,summer,Serie A,2002,True,end of loan
AC Parma,Alessandro Pierini,29,Italy,Centre-Back,CB,,Reggina,Italy,,in,winter,Serie A,2002,False,
AC Parma,Giuseppe Cardone,28,Italy,Right-Back,RB,,Piacenza,Italy,,in,winter,Serie A,2002,False,
AC Parma,Johnnier Montaño,19,Colombia,Attacking Midfield,AM,,Piacenza,Italy,,in,winter,Serie A,2002,False,
AC Parma,Vratislav Gresko,25,Slovakia,Left-Back,LB,,Blackburn,England,0.0,out,winter,Serie A,2002,True,free loan
AC Parma,Aimo Diana,25,Italy,Right Midfield,RM,,Reggina,Italy,0.0,out,winter,Serie A,2002,True,free loan
AC Parma,Stefano Torrisi,31,Italy,Centre-Back,CB,,Reggina,Italy,0.0,out,winter,Serie A,2002,True,free loan
AC Parma,Marco Marchionni,22,Italy,Right Midfield,RM,,Piacenza,Italy,0.0,out,winter,Serie A,2002,True,free loan
AC Parma,Sebastiano Siviglia,29,Italy,Centre-Back,CB,,Atalanta BC,Italy,0.0,out,winter,Serie A,2002,True,free loan
AC Parma,Emiliano Bonazzoli,24,Italy,Centre-Forward,CF,,Reggina,Italy,0.0,out,winter,Serie A,2002,True,free loan
AC Perugia,Konstantinos Louboutis,23,Greece,Left-Back,LB,,Aris Saloniki,Greece,0.0,in,summer,Serie A,2002,False,
AC Perugia,Fabrizio Miccoli,23,Italy,Centre-Forward,CF,,Juventus,Italy,0.0,in,summer,Serie A,2002,True,free loan
AC Perugia,Roberto Baronio,24,Italy,Defensive Midfield,DM,,Lazio,Italy,0.0,in,summer,Serie A,2002,True,free loan
AC Perugia,Andrea Caracciolo,20,Italy,Centre-Forward,CF,,Brescia,Italy,0.0,in,summer,Serie A,2002,True,free loan
AC Perugia,Luigi Pagliuca,23,Italy,Right Winger,RW,,Prato,Italy,0.0,in,summer,Serie A,2002,True,free loan
AC Perugia,Giovanni Sulcis,27,Italy,midfield,midfield,,Cagliari Calcio,Italy,,in,summer,Serie A,2002,False,
AC Perugia,Emanuele Berrettoni,21,Italy,Second Striker,SS,,Lazio U19,Italy,,in,summer,Serie A,2002,False,
AC Perugia,Giuseppe Aprea,25,Italy,Goalkeeper,GK,,Fermana,Italy,,in,summer,Serie A,2002,False,
AC Perugia,Lorenzo Crocetti,18,Italy,Centre-Forward,CF,,Fiorentina U19,Italy,,in,summer,Serie A,2002,False,
AC Perugia,Manuele Blasi,21,Italy,Central Midfield,CM,,Juventus,Italy,0.0,in,summer,Serie A,2002,True,free loan
AC Perugia,Paolo Zaccagnini,25,Italy,Right Midfield,RM,,Chieti,Italy,,in,summer,Serie A,2002,False,
AC Perugia,Giorgio Cini,23,Italy,midfield,midfield,,Ostiamare,Italy,,in,summer,Serie A,2002,False,
AC Perugia,Tiago Calvano,21,Brazil,Centre-Back,CB,,Botafogo,Brazil,,in,summer,Serie A,2002,False,
