club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
AC Ajaccio,Ousman Nyan,26,Norway,Central Midfield,CM,,Start,Norway,0.0,in,summer,Ligue 1,2002,False,
AC Ajaccio,Abdelnasser Ouadah,26,Algeria,Left Winger,LW,,Chamois Niort,France,0.0,in,summer,Ligue 1,2002,False,
AC Ajaccio,Yacine Bezzaz,20,Algeria,Left Midfield,LM,,JS Kabylie,Algeria,0.0,in,summer,Ligue 1,2002,False,
AC Ajaccio,Thomas Sowunmi,23,Hungary,Centre-Forward,CF,,Dunaferr SE,Hungary,0.0,in,summer,Ligue 1,2002,False,
AC Ajaccio,Mickaël Marquet,20,France,Attacking Midfield,AM,,US Créteil-L,France,0.0,in,summer,Ligue 1,2002,False,
AC Ajaccio,Yohan Demont,24,France,Right-Back,RB,,Beauvais,France,0.0,in,summer,Ligue 1,2002,False,
AC Ajaccio,Bruno Rodriguez,29,France,Centre-Forward,CF,,Lens,France,0.0,in,summer,Ligue 1,2002,True,free loan
AC Ajaccio,Laurent Wuillot,26,Belgium,Centre-Back,CB,,Standard Liège,Belgium,0.0,in,summer,Ligue 1,2002,False,
AC Ajaccio,Hervé Sekli,25,France,Goalkeeper,GK,,Troyes,France,0.0,in,summer,Ligue 1,2002,False,
AC Ajaccio,Mamadou Seck,22,Senegal,Centre-Back,CB,,Nîmes Olympique,France,0.0,in,summer,Ligue 1,2002,False,
AC Ajaccio,Laurent Moracchini,34,France,Defensive Midfield,DM,,AS Nancy,France,0.0,in,summer,Ligue 1,2002,False,
AC Ajaccio,Florian Lucchini,21,France,Goalkeeper,GK,,GFCO Ajaccio,France,0.0,in,summer,Ligue 1,2002,False,
AC Ajaccio,Xavier Collin,27,France,Left-Back,LB,,FC Gueugnon,France,0.0,in,summer,Ligue 1,2002,False,
AC Ajaccio,Stéphane Grégoire,34,France,Defensive Midfield,DM,,Stade Rennais,France,0.0,in,summer,Ligue 1,2002,False,
AC Ajaccio,Jean-Michel Luciani,27,France,defence,defence,,Unknown,,,in,summer,Ligue 1,2002,False,
