club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Aberdeen FC,Shay Logan,26,England,Right-Back,RB,250000.0,Brentford,England,0.0,in,summer,Scottish Premiership,2014,False,
Aberdeen FC,Ash Taylor,23,Wales,Centre-Back,CB,150000.0,Tranmere Rovers,England,0.0,in,summer,Scottish Premiership,2014,False,
Aberdeen FC,Scott Brown,29,England,Goalkeeper,GK,125000.0,Cheltenham,England,0.0,in,summer,Scottish Premiership,2014,False,
Aberdeen FC,David Goodwillie,25,Scotland,Centre-Forward,CF,1250000.0,Blackburn,England,0.0,in,summer,Scottish Premiership,2014,False,
Aberdeen FC,Jeffrey Monakana,20,England,Right Midfield,RM,50000.0,Brighton,England,0.0,in,summer,Scottish Premiership,2014,True,free loan
Aberdeen FC,Scott Vernon,30,England,Centre-Forward,CF,300000.0,Shrewsbury,England,0.0,out,summer,Scottish Premiership,2014,False,
Aberdeen FC,Josh Magennis,23,Northern Ireland,Centre-Forward,CF,300000.0,Kilmarnock FC,Scotland,0.0,out,summer,Scottish Premiership,2014,False,
Aberdeen FC,Calvin Zola,29,DR Congo,Centre-Forward,CF,300000.0,Stevenage,England,0.0,out,summer,Scottish Premiership,2014,False,
Aberdeen FC,Danny Rogers,20,Ireland,Goalkeeper,GK,50000.0,Dumbarton,Scotland,0.0,out,summer,Scottish Premiership,2014,True,free loan
Aberdeen FC,Declan McManus,20,Scotland,Centre-Forward,CF,75000.0,Morton,Scotland,0.0,out,summer,Scottish Premiership,2014,True,free loan
Aberdeen FC,Jamie Masson,21,Scotland,Left Midfield,LM,50000.0,Brechin City,Scotland,0.0,out,summer,Scottish Premiership,2014,True,free loan
Aberdeen FC,Joe Shaughnessy,22,Ireland,Centre-Back,CB,300000.0,Falkirk,Scotland,0.0,out,summer,Scottish Premiership,2014,True,free loan
Aberdeen FC,Nicky Weaver,35,England,Goalkeeper,GK,250000.0,Retired,,,out,summer,Scottish Premiership,2014,False,
Aberdeen FC,Kenny McLean,23,Scotland,Central Midfield,CM,600000.0,St. Mirren,Scotland,400000.0,in,winter,Scottish Premiership,2014,False,
Aberdeen FC,Donervon Daniels,21,England,Centre-Back,CB,100000.0,West Brom U23,England,0.0,in,winter,Scottish Premiership,2014,True,free loan
Aberdeen FC,Andy Driver,27,Scotland,Left Midfield,LM,1250000.0,Without Club,,,in,winter,Scottish Premiership,2014,False,
Aberdeen FC,Craig Murray,20,Scotland,Right Midfield,RM,50000.0,Ayr United,Scotland,0.0,out,winter,Scottish Premiership,2014,True,free loan
Aberdeen FC,Craig Storie,19,Scotland,Central Midfield,CM,50000.0,Brechin City,Scotland,0.0,out,winter,Scottish Premiership,2014,True,free loan
Aberdeen FC,Declan McManus,20,Scotland,Centre-Forward,CF,75000.0,Morton,Scotland,0.0,out,winter,Scottish Premiership,2014,True,free loan
Aberdeen FC,Jamie Masson,21,Scotland,Left Midfield,LM,50000.0,Brechin City,Scotland,0.0,out,winter,Scottish Premiership,2014,True,free loan
Celtic FC,Stefan Scepovic,24,Serbia,Centre-Forward,CF,2500000.0,Sporting Gijón,Spain,2530000.0,in,summer,Scottish Premiership,2014,False,
Celtic FC,Aleksandar Tonev,24,Bulgaria,Left Winger,LW,2000000.0,Aston Villa,England,0.0,in,summer,Scottish Premiership,2014,True,free loan
Celtic FC,John Guidetti,22,Sweden,Centre-Forward,CF,3500000.0,Man City,England,0.0,in,summer,Scottish Premiership,2014,True,free loan
Celtic FC,Jo Inge Berget,23,Norway,Right Winger,RW,2000000.0,Cardiff,England,0.0,in,summer,Scottish Premiership,2014,True,free loan
Celtic FC,Jason Denayer,19,Belgium,Centre-Back,CB,,Man City,England,0.0,in,summer,Scottish Premiership,2014,True,free loan
Celtic FC,Mubarak Wakaso,24,Ghana,Central Midfield,CM,5000000.0,Rubin Kazan,Russia,0.0,in,summer,Scottish Premiership,2014,True,free loan
Celtic FC,Craig Gordon,31,Scotland,Goalkeeper,GK,,Career break,,,in,summer,Scottish Premiership,2014,False,
Celtic FC,Fraser Forster,26,England,Goalkeeper,GK,4500000.0,Southampton,England,12500000.0,out,summer,Scottish Premiership,2014,False,
Celtic FC,Tony Watt,20,Scotland,Centre-Forward,CF,1500000.0,Standard Liège,Belgium,1500000.0,out,summer,Scottish Premiership,2014,False,
Celtic FC,Georgios Samaras,29,Greece,Left Winger,LW,3000000.0,West Brom,England,0.0,out,summer,Scottish Premiership,2014,False,
Celtic FC,Lewis Toshney,22,Scotland,Centre-Back,CB,300000.0,Ross County,Scotland,0.0,out,summer,Scottish Premiership,2014,False,
Celtic FC,Hólmbert Aron Fridjónsson,21,Iceland,Centre-Forward,CF,50000.0,Bröndby IF,Denmark,0.0,out,summer,Scottish Premiership,2014,True,free loan
Celtic FC,Amido Baldé,23,Guinea-Bissau,Centre-Forward,CF,2000000.0,Waasl.-Beveren,Belgium,0.0,out,summer,Scottish Premiership,2014,True,free loan
Celtic FC,Dylan McGeouch,21,Scotland,Central Midfield,CM,400000.0,Hibernian FC,Scotland,0.0,out,summer,Scottish Premiership,2014,True,free loan
Celtic FC,Teemu Pukki,24,Finland,Centre-Forward,CF,2500000.0,Bröndby IF,Denmark,0.0,out,summer,Scottish Premiership,2014,True,free loan
Celtic FC,Jackson Irvine,21,Australia,Central Midfield,CM,150000.0,Ross County,Scotland,0.0,out,summer,Scottish Premiership,2014,True,free loan
Celtic FC,Marcus Fraser,20,Scotland,Right-Back,RB,,Cowdenbeath,Scotland,0.0,out,summer,Scottish Premiership,2014,True,free loan
Celtic FC,Steven Mouyokolo,27,France,Centre-Back,CB,500000.0,Retired,,,out,summer,Scottish Premiership,2014,False,
Celtic FC,Patrik Twardzik,21,Czech Republic,Central Midfield,CM,50000.0,Without Club,,,out,summer,Scottish Premiership,2014,False,
Celtic FC,Bahrudin Atajic,20,Bosnia-Herzegovina,Attacking Midfield,AM,200000.0,Without Club,,,out,summer,Scottish Premiership,2014,False,
Celtic FC,Michael Duffy,20,Ireland,Left Winger,LW,50000.0,Derry City,Ireland,136000.0,in,winter,Scottish Premiership,2014,False,
Celtic FC,Stuart Armstrong,22,Scotland,Central Midfield,CM,600000.0,Dundee United,Scotland,,in,winter,Scottish Premiership,2014,False,
Celtic FC,Gary Mackay-Steven,24,Scotland,Left Midfield,LM,600000.0,Dundee United,Scotland,,in,winter,Scottish Premiership,2014,False,
Celtic FC,Marcus Fraser,20,Scotland,Right-Back,RB,50000.0,Ross County,Scotland,0.0,out,winter,Scottish Premiership,2014,False,
Celtic FC,Beram Kayal,26,Israel,Central Midfield,CM,1000000.0,Brighton,England,0.0,out,winter,Scottish Premiership,2014,False,
Celtic FC,Amido Baldé,23,Guinea-Bissau,Centre-Forward,CF,900000.0,Hapoel Tel Aviv,Israel,0.0,out,winter,Scottish Premiership,2014,True,free loan
Celtic FC,John Herron,20,Scotland,Central Midfield,CM,50000.0,Cowdenbeath,Scotland,0.0,out,winter,Scottish Premiership,2014,True,free loan
Celtic FC,Filip Twardzik,21,Czech Republic,Centre-Back,CB,75000.0,Bolton,England,,out,winter,Scottish Premiership,2014,False,
Celtic FC,Liam Henderson,18,Scotland,Central Midfield,CM,300000.0,Rosenborg,Norway,0.0,out,winter,Scottish Premiership,2014,True,free loan
Celtic FC,Paul George,20,Ireland,Right Winger,RW,50000.0,Without Club,,,out,winter,Scottish Premiership,2014,False,
Dundee FC,Greg Stewart,24,Scotland,Centre-Forward,CF,200000.0,Cowdenbeath,Scotland,0.0,in,summer,Scottish Premiership,2014,False,
Dundee FC,James McPake,30,Northern Ireland,Centre-Back,CB,350000.0,Hibernian FC,Scotland,0.0,in,summer,Scottish Premiership,2014,False,
Dundee FC,Kevin Thomson,29,Scotland,Central Midfield,CM,400000.0,Hibernian FC,Scotland,0.0,in,summer,Scottish Premiership,2014,False,
Dundee FC,Scott Bain,22,Scotland,Goalkeeper,GK,175000.0,Alloa Athletic,Scotland,0.0,in,summer,Scottish Premiership,2014,False,
Dundee FC,Grant Adam,23,Scotland,Goalkeeper,GK,,Airdrieonians,Scotland,0.0,in,summer,Scottish Premiership,2014,False,
Dundee FC,Paul McGinn,23,Scotland,Right-Back,RB,200000.0,Dumbarton,Scotland,0.0,in,summer,Scottish Premiership,2014,False,
Dundee FC,Gary Harkins,29,Scotland,Attacking Midfield,AM,500000.0,St. Mirren,Scotland,0.0,in,summer,Scottish Premiership,2014,False,
Dundee FC,Luka Tankulic,23,Germany,Attacking Midfield,AM,100000.0,Wolfsburg II,Germany,0.0,in,summer,Scottish Premiership,2014,False,
Dundee FC,Paul McGowan,26,Scotland,Central Midfield,CM,850000.0,St. Mirren,Scotland,,in,summer,Scottish Premiership,2014,False,
Dundee FC,Simon Ferry,26,Scotland,Central Midfield,CM,175000.0,Portsmouth,England,,in,summer,Scottish Premiership,2014,False,
Dundee FC,Thomas Konrad,24,Germany,Centre-Back,CB,75000.0,Eintracht Trier,Germany,,in,summer,Scottish Premiership,2014,False,
Dundee FC,Philip Roberts,20,Ireland,Centre-Forward,CF,250000.0,Without Club,,,in,summer,Scottish Premiership,2014,False,
Dundee FC,David Clarkson,28,Scotland,Centre-Forward,CF,250000.0,Without Club,,,in,summer,Scottish Premiership,2014,False,
Dundee FC,Arvid Schenk,25,Germany,Goalkeeper,GK,50000.0,Without Club,,,in,summer,Scottish Premiership,2014,False,
Dundee FC,John Gibson,25,Scotland,Goalkeeper,GK,50000.0,Alloa Athletic,Scotland,0.0,out,summer,Scottish Premiership,2014,False,
Dundee FC,Dan Twardzik,23,Czech Republic,Goalkeeper,GK,75000.0,Motherwell FC,Scotland,0.0,out,summer,Scottish Premiership,2014,False,
Dundee FC,Ryan Conroy,27,Scotland,Left Midfield,LM,325000.0,Raith Rovers,Scotland,0.0,out,summer,Scottish Premiership,2014,False,
Dundee FC,Stephen O'Donnell,31,Scotland,Central Midfield,CM,325000.0,Clyde FC,Scotland,0.0,out,summer,Scottish Premiership,2014,False,
Dundee FC,Matt Lockwood,37,England,Left-Back,LB,100000.0,Sutton Utd,England,0.0,out,summer,Scottish Premiership,2014,False,
Dundee FC,Christian Nadé,29,France,Centre-Forward,CF,,Raith Rovers,Scotland,0.0,out,summer,Scottish Premiership,2014,False,
Dundee FC,Craig Beattie,30,Scotland,Centre-Forward,CF,300000.0,Zebbug Rangers,Malta,0.0,out,summer,Scottish Premiership,2014,False,
Dundee FC,Steven Doris,25,Scotland,Centre-Forward,CF,100000.0,Stirling Albion,Scotland,0.0,out,summer,Scottish Premiership,2014,False,
Dundee FC,Jamie Reid,20,Scotland,Left Midfield,LM,50000.0,Stenhousemuir,Scotland,0.0,out,summer,Scottish Premiership,2014,True,free loan
Dundee FC,Nicky Riley,28,Scotland,Left Midfield,LM,300000.0,Peterhead,Scotland,0.0,out,summer,Scottish Premiership,2014,True,free loan
Dundee FC,Kyle Benedictus,22,Scotland,Centre-Back,CB,300000.0,Alloa Athletic,Scotland,0.0,out,summer,Scottish Premiership,2014,True,free loan
Dundee FC,Declan Gallagher,23,Scotland,Centre-Back,CB,250000.0,Livingston FC,Scotland,,out,summer,Scottish Premiership,2014,False,
Dundee FC,Stephen Hughes,31,Scotland,Central Midfield,CM,275000.0,Retired,,,out,summer,Scottish Premiership,2014,False,
Dundee FC,Sean Bonnett-Johnson,24,England,Right Midfield,RM,,Without Club,,,out,summer,Scottish Premiership,2014,False,
Dundee FC,Leighton McIntosh,21,Scotland,Centre-Forward,CF,175000.0,Without Club,,,out,summer,Scottish Premiership,2014,False,
Dundee FC,Grant Adam,23,Scotland,Goalkeeper,GK,,Without Club,,,out,summer,Scottish Premiership,2014,False,
Dundee FC,Gavin Rae,36,Scotland,Central Midfield,CM,350000.0,Retired,,,out,summer,Scottish Premiership,2014,False,
Dundee FC,Kostadin Gadzhalov,25,Bulgaria,Centre-Back,CB,150000.0,Dob. Dobrich,Bulgaria,0.0,in,winter,Scottish Premiership,2014,False,
Dundee FC,Paul Heffernan,33,Ireland,Centre-Forward,CF,400000.0,Hibernian FC,Scotland,0.0,in,winter,Scottish Premiership,2014,False,
Dundee FC,Stephen McGinn,26,Scotland,Central Midfield,CM,250000.0,Sheff Utd,England,0.0,in,winter,Scottish Premiership,2014,False,
Dundee FC,Alex Harris,20,Scotland,Left Midfield,LM,175000.0,Hibernian FC,Scotland,0.0,in,winter,Scottish Premiership,2014,True,free loan
Dundee FC,Stephen McGinn,26,Scotland,Central Midfield,CM,250000.0,Sheff Utd,England,0.0,in,winter,Scottish Premiership,2014,True,free loan
Dundee FC,Arvid Schenk,25,Germany,Goalkeeper,GK,50000.0,Without Club,,,in,winter,Scottish Premiership,2014,False,
Dundee FC,Peter MacDonald,34,Scotland,Centre-Forward,CF,300000.0,Morton,Scotland,0.0,out,winter,Scottish Premiership,2014,False,
Dundee FC,Martin Boyle,21,Australia,Right Winger,RW,100000.0,Hibernian FC,Scotland,0.0,out,winter,Scottish Premiership,2014,True,free loan
Dundee FC,Jamie Reid,21,Scotland,Left Midfield,LM,50000.0,Elgin City,Scotland,0.0,out,winter,Scottish Premiership,2014,True,free loan
Dundee FC,Philip Roberts,20,Ireland,Centre-Forward,CF,250000.0,Alloa Athletic,Scotland,0.0,out,winter,Scottish Premiership,2014,True,free loan
Dundee FC,Nicky Riley,28,Scotland,Left Midfield,LM,300000.0,Peterhead,Scotland,0.0,out,winter,Scottish Premiership,2014,True,free loan
Dundee FC,Cammy Kerr,19,Scotland,Right-Back,RB,25000.0,Peterhead,Scotland,0.0,out,winter,Scottish Premiership,2014,True,free loan
