club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
ADO Den Haag,Sjaak Polak,28,Netherlands,Left-Back,LB,,Twente FC,Netherlands,0.0,in,summer,Eredivisie,2004,False,
ADO Den Haag,Jimmy van Fessem,28,Netherlands,Goalkeeper,GK,,Vitesse,Netherlands,0.0,in,summer,Eredivisie,2004,False,
ADO Den Haag,Jamie Smith,23,Scotland,Right Winger,RW,,Celtic,Scotland,0.0,in,summer,Eredivisie,2004,False,
ADO Den Haag,Spira Grujic,32,Serbia,Sweeper,SW,,Twente FC,Netherlands,0.0,in,summer,Eredivisie,2004,False,
ADO Den Haag,Jamie Coyne,23,Australia,Right-Back,RB,,Perth Glory,Australia,0.0,in,summer,Eredivisie,2004,False,
ADO Den Haag,Geert den Ouden,27,Netherlands,Centre-Forward,CF,,Djurgarden,Sweden,50000.0,in,summer,Eredivisie,2004,False,
ADO Den Haag,Gill Swerts,21,Belgium,Right-Back,RB,,Feyenoord,Netherlands,0.0,in,summer,Eredivisie,2004,True,free loan
ADO Den Haag,Raymond Jansz,21,Netherlands,Goalkeeper,GK,,Unknown,,,in,summer,Eredivisie,2004,False,
ADO Den Haag,Arjan van der Kaay,21,Netherlands,Goalkeeper,GK,,SVVSMC,Netherlands,,in,summer,Eredivisie,2004,False,
ADO Den Haag,Mirano Carrilho,28,Netherlands,Left Midfield,LM,,De Graafschap,Netherlands,0.0,out,summer,Eredivisie,2004,False,
ADO Den Haag,Marlon Kruis,23,Netherlands,defence,defence,,Voorschoten,Netherlands,0.0,out,summer,Eredivisie,2004,False,
ADO Den Haag,Eelco Tigchelaar,22,Netherlands,Centre-Back,CB,,VSV TONEGIDO,Netherlands,0.0,out,summer,Eredivisie,2004,False,
ADO Den Haag,Mario van Heiningen,28,Netherlands,defence,defence,,Voorschoten,Netherlands,0.0,out,summer,Eredivisie,2004,False,
ADO Den Haag,Robert van Boxel,21,Netherlands,Centre-Back,CB,,AGOVV Apeldoorn,Netherlands,0.0,out,summer,Eredivisie,2004,False,
ADO Den Haag,Kofi Mensah,26,Ghana,Right-Back,RB,,Anorthosis,Cyprus,0.0,out,summer,Eredivisie,2004,False,
ADO Den Haag,Roland Jansen,36,Netherlands,Goalkeeper,GK,,Kozakken Boys,Netherlands,0.0,out,summer,Eredivisie,2004,False,
ADO Den Haag,Jeffrey van As,32,Netherlands,Centre-Back,CB,,VVSB,Netherlands,0.0,out,summer,Eredivisie,2004,False,
ADO Den Haag,Michael Ros,22,Netherlands,Centre-Back,CB,,Haarlem,Netherlands,0.0,out,summer,Eredivisie,2004,False,
ADO Den Haag,Romeo Castelen,21,Netherlands,Right Winger,RW,,Feyenoord,Netherlands,0.0,out,summer,Eredivisie,2004,False,
