club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
AC Le Havre,Gustave Bahoken,20,Cameroon,Right-Back,RB,,OG Rouen,France,0.0,in,summer,Ligue 1,1999,False,
AC Le Havre,Mohammed Camara,24,Guinea,Left-Back,LB,,LOSC Lille,France,0.0,in,summer,Ligue 1,1999,False,
AC Le Havre,Eric Deloumeaux,26,France,defence,defence,,FC Gueugnon,France,,in,summer,Ligue 1,1999,False,
AC Le Havre,Mickaël Debève,28,France,Right Midfield,RM,,Lens,France,0.0,in,summer,Ligue 1,1999,True,free loan
AC Le Havre,Thomas Deniaud,27,France,Centre-Forward,CF,,AJ Auxerre,France,,in,summer,Ligue 1,1999,False,
AC Le Havre,Raphaël Miceli,23,Belgium,Left Midfield,LM,,R. Strasbourg,France,,in,summer,Ligue 1,1999,False,
AC Le Havre,Stéphane Samson,24,France,Centre-Forward,CF,,Le Mans UC 72,France,900000.0,out,summer,Ligue 1,1999,False,
AC Le Havre,Lilian Nalis,27,France,Central Midfield,CM,,SC Bastia,France,0.0,out,summer,Ligue 1,1999,False,
AC Le Havre,Mathieu Louis-Jean,23,France,Right-Back,RB,,Nottm Forest,England,0.0,out,summer,Ligue 1,1999,False,
AC Le Havre,Momo Sylla,22,Guinea,Right Winger,RW,,Le Mans UC 72,France,0.0,out,summer,Ligue 1,1999,False,
AC Le Havre,Marinos Ouzounidis,30,Greece,Centre-Back,CB,,Paniliakos,Greece,0.0,out,summer,Ligue 1,1999,False,
AC Le Havre,Dzoni Novak,29,Slovenia,Left Midfield,LM,,CS Sedan,France,,out,summer,Ligue 1,1999,False,
AC Le Havre,Ludovic Pollet,29,France,Centre-Back,CB,,Lens,France,,out,summer,Ligue 1,1999,False,
AC Le Havre,Nicolas Huysman,31,France,Left Midfield,LM,,US Créteil,France,,out,summer,Ligue 1,1999,False,
AC Le Havre,Milinko Pantic,32,Serbia,Attacking Midfield,AM,,Panionios,Greece,,out,summer,Ligue 1,1999,False,
AC Le Havre,Oumar Sané,23,Senegal,Right Winger,RW,,Louh.-Cuiseaux,France,,out,summer,Ligue 1,1999,False,
AC Le Havre,Bruno Hameni Njeukam,20,Cameroon,Goalkeeper,GK,,Yanbian B,China,,out,summer,Ligue 1,1999,False,
