club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
AJ Auxerre,Pierre Deblock,27,France,Right Midfield,RM,,CS Sedan,France,2800000.0,in,summer,Ligue 1,2000,False,
AJ Auxerre,Jean-Alain Boumsong,20,France,Centre-Back,CB,,AC Le Havre,France,0.0,in,summer,Ligue 1,2000,False,
AJ Auxerre,Moussa Saïb,31,Algeria,Left Midfield,LM,,Al-Nasr,United Arab Emirates,,in,summer,Ligue 1,2000,False,
AJ Auxerre,Bernard Diomède,26,France,Left Winger,LW,,Liverpool,England,4500000.0,out,summer,Ligue 1,2000,False,
AJ Auxerre,Anthony Basso,20,France,Goalkeeper,GK,,Udinese,Italy,500000.0,out,summer,Ligue 1,2000,False,
AJ Auxerre,Jacques-Désiré Périatambée,24,Mauritius,Defensive Midfield,DM,,Grenoble,France,0.0,out,summer,Ligue 1,2000,False,
AJ Auxerre,Steve Marlet,26,France,Centre-Forward,CF,,Olympique Lyon,France,0.0,out,summer,Ligue 1,2000,False,
AJ Auxerre,Lilian Compan,23,France,Centre-Forward,CF,,US Créteil,France,0.0,out,summer,Ligue 1,2000,False,
AJ Auxerre,Benjamin Nivet,23,France,Attacking Midfield,AM,,LB Châteauroux,France,0.0,out,summer,Ligue 1,2000,False,
AJ Auxerre,Cédric Liabeuf,20,France,Attacking Midfield,AM,,SO Romorantin,France,0.0,out,summer,Ligue 1,2000,False,
AJ Auxerre,Arnaud Gonzalez,22,France,Centre-Forward,CF,,Beauvais,France,0.0,out,summer,Ligue 1,2000,True,free loan
AJ Auxerre,Oumar Dieng,27,France,Centre-Back,CB,,C. Rizespor,Turkey,0.0,out,summer,Ligue 1,2000,False,
AJ Auxerre,Albert Michael Yobo,21,France,Centre-Back,CB,,VfL Osnabrück,Germany,,out,summer,Ligue 1,2000,False,
AJ Auxerre,Laurent Ciechelski,29,France,Right-Back,RB,,AC Le Havre,France,,out,summer,Ligue 1,2000,False,
AJ Auxerre,Stéphane Carnot,28,France,Attacking Midfield,AM,,Guingamp,France,,out,summer,Ligue 1,2000,False,
AJ Auxerre,Khalilou Fadiga,26,Senegal,Left Winger,LW,,Club Brugge,Belgium,,in,winter,Ligue 1,2000,False,
AJ Auxerre,Moussa Saïb,31,Algeria,Left Midfield,LM,,Al-Nasr,United Arab Emirates,,in,winter,Ligue 1,2000,False,
AJ Auxerre,Tomasz Klos,27,Poland,Centre-Back,CB,,1.FC K'lautern,Germany,1100000.0,out,winter,Ligue 1,2000,False,
AS Monaco,Shabani Nonda,23,DR Congo,Centre-Forward,CF,,Stade Rennais,France,20000000.0,in,summer,Ligue 1,2000,False,
AS Monaco,Stéphane Porato,26,France,Goalkeeper,GK,,Marseille,France,10500000.0,in,summer,Ligue 1,2000,False,
AS Monaco,Hassan El Fakiri,23,Norway,Left-Back,LB,,FK Lyn,Norway,1100000.0,in,summer,Ligue 1,2000,False,
AS Monaco,Franck Jurietti,25,France,Left-Back,LB,,SC Bastia,France,0.0,in,summer,Ligue 1,2000,False,
AS Monaco,Éric Abidal,20,France,Left-Back,LB,,AS Lyon-Duchère,France,0.0,in,summer,Ligue 1,2000,False,
AS Monaco,Ousmane Dabo,23,France,Defensive Midfield,DM,,AC Parma,Italy,0.0,in,summer,Ligue 1,2000,True,free loan
AS Monaco,Uliano Courville,21,France,midfield,midfield,,AC Ajaccio,France,,in,summer,Ligue 1,2000,False,
AS Monaco,Jaroslav Plasil,18,Czech Republic,Central Midfield,CM,,Hradec Králové,Czech Republic,,in,summer,Ligue 1,2000,False,
AS Monaco,André Biancarelli,30,France,Goalkeeper,GK,,FC Metz,France,,in,summer,Ligue 1,2000,False,
AS Monaco,Nicolas Bonnal,23,France,Left Midfield,LM,,AC Ajaccio,France,,in,summer,Ligue 1,2000,False,
AS Monaco,Florin Raducioiu,30,Romania,Centre-Forward,CF,,Brescia,Italy,,in,summer,Ligue 1,2000,False,
AS Monaco,Xavier Gravelaine,31,France,Centre-Forward,CF,,AC Le Havre,France,,in,summer,Ligue 1,2000,False,
AS Monaco,David Trézéguet,22,France,Centre-Forward,CF,,Juventus,Italy,23240000.0,out,summer,Ligue 1,2000,False,
AS Monaco,Fabien Barthez,29,France,Goalkeeper,GK,,Man Utd,England,11700000.0,out,summer,Ligue 1,2000,False,
AS Monaco,Sabri Lamouchi,28,France,Central Midfield,CM,,AC Parma,Italy,7850000.0,out,summer,Ligue 1,2000,False,
AS Monaco,Willy Sagnol,23,France,Right-Back,RB,,FC Bayern,Germany,7700000.0,out,summer,Ligue 1,2000,False,
AS Monaco,Tony Sylva,25,Senegal,Goalkeeper,GK,,AC Ajaccio,France,0.0,out,summer,Ligue 1,2000,True,free loan
AS Monaco,Salif Diao,23,Senegal,Defensive Midfield,DM,,CS Sedan,France,0.0,out,summer,Ligue 1,2000,False,
AS Monaco,Moussa N'Diaye,21,Senegal,Right Winger,RW,,CS Sedan,France,0.0,out,summer,Ligue 1,2000,False,
AS Monaco,Fabien Lefèvre,28,France,Left Midfield,LM,,Montpellier,France,0.0,out,summer,Ligue 1,2000,False,
AS Monaco,Renaud Connen,20,Monaco,Attacking Midfield,AM,,AC Ajaccio,France,,out,summer,Ligue 1,2000,False,
