club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Belenenses SAD,Guga,23.0,Brazil,Right Winger,RW,,Gil Vicente,Portugal,0.0,in,summer,Primeira Liga,2000,False,
Belenenses SAD,Carlos Manuel,21.0,Portugal,Central Midfield,CM,,Alcains,Portugal,,in,summer,Primeira Liga,2000,False,
Belenenses SAD,Verona,26.0,Brazil,Attacking Midfield,AM,,CF Estrela,Portugal,,in,summer,Primeira Liga,2000,False,
Belenenses SAD,Cléber,26.0,Brazil,Centre-Back,CB,,UA Barbarense,Brazil,,in,summer,Primeira Liga,2000,False,
Belenenses SAD,Pedro Henriques,25.0,Portugal,Left-Back,LB,,Vitória Setúbal,Portugal,,in,summer,Primeira Liga,2000,False,
Belenenses SAD,Paulo Dias,22.0,Portugal,Defensive Midfield,DM,,Coimbra,Portugal,,in,summer,Primeira Liga,2000,False,
Belenenses SAD,Bruno Fernandes,21.0,Guinea-Bissau,Centre-Back,CB,,Alcochentense,Portugal,,in,summer,Primeira Liga,2000,False,
Belenenses SAD,Fábio Cosme,22.0,Brazil,Defensive Midfield,DM,,Caçadores,Portugal,,in,summer,Primeira Liga,2000,False,
Belenenses SAD,Gerson,25.0,Cape Verde,Centre-Back,CB,,Espinho,Portugal,,in,summer,Primeira Liga,2000,False,
Belenenses SAD,Marcão,31.0,Brazil,Centre-Forward,CF,,Varzim,Portugal,,in,summer,Primeira Liga,2000,False,
Belenenses SAD,Marco Botelho,24.0,Portugal,Goalkeeper,GK,,Vitória Setúbal,Portugal,0.0,out,summer,Primeira Liga,2000,False,
Belenenses SAD,Rui Gregório,31.0,Portugal,Centre-Back,CB,,Santa Clara,Portugal,,out,summer,Primeira Liga,2000,False,
Belenenses SAD,Fernando Mendes,33.0,Portugal,Left-Back,LB,,Vitória Setúbal,Portugal,,out,summer,Primeira Liga,2000,False,
Belenenses SAD,José Carlos,33.0,Portugal,Right-Back,RB,,Atlético CP,Portugal,,out,summer,Primeira Liga,2000,False,
Belenenses SAD,Haruna Doda,25.0,Nigeria,attack,attack,,Santa Clara,Portugal,,out,summer,Primeira Liga,2000,False,
Belenenses SAD,Nilson,27.0,Brazil,Centre-Back,CB,,Unknown,,,out,summer,Primeira Liga,2000,False,
Belenenses SAD,Baltasar,33.0,Portugal,Attacking Midfield,AM,,Estoril Praia,Portugal,,out,summer,Primeira Liga,2000,False,
Boavista FC,Elpídio Silva,24.0,Brazil,Centre-Forward,CF,,Braga,Portugal,700000.0,in,summer,Primeira Liga,2000,False,
Boavista FC,Rui Óscar,24.0,Portugal,Right-Back,RB,,Marítimo,Portugal,0.0,in,summer,Primeira Liga,2000,False,
Boavista FC,Marçal,25.0,Brazil,defence,defence,,Leiria,Portugal,0.0,in,summer,Primeira Liga,2000,False,
Boavista FC,Frechaut,22.0,Portugal,Right-Back,RB,,Vitória Setúbal,Portugal,,in,summer,Primeira Liga,2000,False,
Boavista FC,Khadim Fayé,29.0,Senegal,Goalkeeper,GK,,Felgueiras,Portugal,,in,summer,Primeira Liga,2000,False,
Boavista FC,Duda,26.0,Brazil,Centre-Forward,CF,,Alverca,Portugal,,in,summer,Primeira Liga,2000,False,
Boavista FC,Petit,23.0,Portugal,Defensive Midfield,DM,,Gil Vicente,Portugal,,in,summer,Primeira Liga,2000,False,
Boavista FC,Pedro Santos,24.0,Portugal,Central Midfield,CM,,Gil Vicente,Portugal,,in,summer,Primeira Liga,2000,False,
Boavista FC,Filipe Gouveia,27.0,Portugal,Left Midfield,LM,,Montpellier,France,,in,summer,Primeira Liga,2000,False,
Boavista FC,Artur Jorge Vicente,27.0,Cape Verde,attack,attack,,Rio Ave FC,Portugal,,in,summer,Primeira Liga,2000,False,
Boavista FC,Erivan,25.0,Brazil,Left-Back,LB,,Freamunde,Portugal,,in,summer,Primeira Liga,2000,False,
Boavista FC,Geraldo,27.0,Brazil,Central Midfield,CM,,Bragantino,Brazil,,in,summer,Primeira Liga,2000,False,
Boavista FC,Pedro Martins,29.0,Portugal,Defensive Midfield,DM,,Alverca,Portugal,0.0,out,summer,Primeira Liga,2000,False,
Boavista FC,Bosingwa,17.0,Portugal,Right-Back,RB,,Freamunde,Portugal,0.0,out,summer,Primeira Liga,2000,True,free loan
Boavista FC,Mário Silva,23.0,Portugal,Left-Back,LB,,FC Nantes,France,,out,summer,Primeira Liga,2000,False,
Boavista FC,Douala,21.0,Cameroon,Left Winger,LW,,Desportivo Aves,Portugal,0.0,out,summer,Primeira Liga,2000,True,free loan
Boavista FC,Nílton,21.0,Cape Verde,Central Midfield,CM,,Desportivo Aves,Portugal,,out,summer,Primeira Liga,2000,False,
Boavista FC,Pedro Costa,18.0,Portugal,Right-Back,RB,,Gondomar,Portugal,,out,summer,Primeira Liga,2000,False,
