club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Belenenses SAD,Afonso Taira,28,Portugal,Defensive Midfield,DM,300000.0,FC Hermannstadt,Romania,0.0,in,summer,Primeira Liga,2020,False,
Belenenses SAD,Cauê,31,Brazil,Defensive Midfield,DM,400000.0,Without Club,,0.0,in,summer,Primeira Liga,2020,False,
Belenenses SAD,Stanislav Kritsyuk,29,Russia,Goalkeeper,GK,2000000.0,Krasnodar,Russia,0.0,in,summer,Primeira Liga,2020,False,
Belenenses SAD,Afonso Sousa,20,Portugal,Left Midfield,LM,525000.0,FC Porto B,Portugal,0.0,in,summer,Primeira Liga,2020,False,
Belenenses SAD,Thibang Phete,26,South Africa,Defensive Midfield,DM,300000.0,Famalicão,Portugal,,in,summer,Primeira Liga,2020,False,
Belenenses SAD,Bruno Ramires,26,Brazil,Central Midfield,CM,200000.0,Feirense,Portugal,,in,summer,Primeira Liga,2020,False,
Belenenses SAD,Miguel Cardoso,26,Portugal,Right Winger,RW,700000.0,Dynamo Moscow,Russia,0.0,in,summer,Primeira Liga,2020,True,free loan
Belenenses SAD,Richard,20,Brazil,Attacking Midfield,AM,750000.0,Internacional,Brazil,0.0,in,summer,Primeira Liga,2020,True,free loan
Belenenses SAD,Pedro Álvaro,20,Portugal,Centre-Back,CB,450000.0,Benfica B,Portugal,0.0,in,summer,Primeira Liga,2020,True,free loan
Belenenses SAD,Henrique,33,Brazil,Centre-Back,CB,1600000.0,Without Club,,,in,summer,Primeira Liga,2020,False,
Belenenses SAD,Ricardo Dias,29,Portugal,Defensive Midfield,DM,300000.0,Coimbra,Portugal,0.0,out,summer,Primeira Liga,2020,False,
Belenenses SAD,Filipe Mendes,35,Portugal,Goalkeeper,GK,50000.0,Real SC,Portugal,0.0,out,summer,Primeira Liga,2020,False,
Belenenses SAD,André Santos,31,Portugal,Defensive Midfield,DM,600000.0,Grasshoppers,Switzerland,0.0,out,summer,Primeira Liga,2020,False,
Belenenses SAD,Ricardo Ferreira,27,Canada,Centre-Back,CB,475000.0,Farense,Portugal,0.0,out,summer,Primeira Liga,2020,False,
Belenenses SAD,Gonçalo Tavares,23,Portugal,Right-Back,RB,100000.0,Cova Piedade,Portugal,,out,summer,Primeira Liga,2020,False,
Belenenses SAD,Nuno Coelho,32,Portugal,Centre-Back,CB,300000.0,Chaves,Portugal,,out,summer,Primeira Liga,2020,False,
Belenenses SAD,Kikas,21,Portugal,Centre-Forward,CF,300000.0,Doxa Katokopias,Cyprus,0.0,out,summer,Primeira Liga,2020,True,free loan
Belenenses SAD,Licá,31,Portugal,Left Winger,LW,475000.0,Without Club,,,out,summer,Primeira Liga,2020,False,
Belenenses SAD,Marco Matias,31,Portugal,Right Winger,RW,550000.0,Without Club,,,out,summer,Primeira Liga,2020,False,
Belenenses SAD,Hervé Koffi,23,Burkina Faso,Goalkeeper,GK,800000.0,LOSC Lille,France,0.0,out,summer,Primeira Liga,2020,True,end of loan
