club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Athletic Bilbao,Beñat Etxebarria,26,Spain,Central Midfield,CM,12000000.0,Real Betis,Spain,8000000.0,in,summer,Laliga,2013,False,
Athletic Bilbao,Kike Sola,27,Spain,Centre-Forward,CF,4000000.0,CA Osasuna,Spain,4000000.0,in,summer,Laliga,2013,False,
Athletic Bilbao,Mikel Rico,28,Spain,Central Midfield,CM,4000000.0,Granada CF,Spain,2900000.0,in,summer,Laliga,2013,False,
Athletic Bilbao,Mikel Balenziaga,25,Spain,Left-Back,LB,2500000.0,Real Valladolid,Spain,500000.0,in,summer,Laliga,2013,False,
Athletic Bilbao,Xabi Etxeita,25,Spain,Centre-Back,CB,3000000.0,Elche CF,Spain,0.0,in,summer,Laliga,2013,False,
Athletic Bilbao,Fernando Llorente,28,Spain,Centre-Forward,CF,20000000.0,Juventus,Italy,0.0,out,summer,Laliga,2013,False,
Athletic Bilbao,Fernando Amorebieta,28,Venezuela,Centre-Back,CB,6000000.0,Fulham,England,0.0,out,summer,Laliga,2013,False,
Athletic Bilbao,Xabier Castillo,27,Spain,Left-Back,LB,1000000.0,UD Las Palmas,Spain,0.0,out,summer,Laliga,2013,False,
Athletic Bilbao,Igor Martínez,23,Spain,Attacking Midfield,AM,800000.0,CD Mirandés,Spain,0.0,out,summer,Laliga,2013,False,
Athletic Bilbao,Isma López,23,Spain,Left-Back,LB,1500000.0,Sporting Gijón,Spain,0.0,out,summer,Laliga,2013,False,
Athletic Bilbao,Iban Zubiaurre,30,Spain,Right-Back,RB,300000.0,Racing,Spain,0.0,out,summer,Laliga,2013,False,
Athletic Bilbao,Iñigo Ruiz de Galarreta,20,Spain,Central Midfield,CM,1000000.0,CD Mirandés,Spain,0.0,out,summer,Laliga,2013,True,free loan
Athletic Bilbao,Jonás Ramalho,20,Angola,Centre-Back,CB,1000000.0,Girona,Spain,0.0,out,summer,Laliga,2013,True,free loan
Athletic Bilbao,Iñigo Pérez,25,Spain,Central Midfield,CM,1500000.0,RCD Mallorca,Spain,0.0,out,summer,Laliga,2013,True,free loan
Athletic Bilbao,Raúl Fernández,25,Spain,Goalkeeper,GK,1500000.0,CD Numancia,Spain,0.0,out,summer,Laliga,2013,True,free loan
Athletic Bilbao,Jon Aurtenetxe,21,Spain,Centre-Back,CB,4000000.0,Celta de Vigo,Spain,0.0,out,summer,Laliga,2013,True,free loan
Atlético Madrid,Josuha Guilavogui,22,France,Defensive Midfield,DM,6500000.0,Saint-Étienne,France,10000000.0,in,summer,Laliga,2013,False,
Atlético Madrid,Leo Baptistão,20,Brazil,Right Winger,RW,7000000.0,Rayo Vallecano,Spain,7000000.0,in,summer,Laliga,2013,False,
Atlético Madrid,Toby Alderweireld,24,Belgium,Centre-Back,CB,10000000.0,Ajax,Netherlands,7000000.0,in,summer,Laliga,2013,False,
Atlético Madrid,Roberto,27,Spain,Goalkeeper,GK,4000000.0,Benfica,Portugal,6000000.0,in,summer,Laliga,2013,False,
Atlético Madrid,David Villa,31,Spain,Centre-Forward,CF,12000000.0,FC Barcelona,Spain,2100000.0,in,summer,Laliga,2013,False,
Atlético Madrid,José María Giménez,18,Uruguay,Centre-Back,CB,100000.0,Danubio FC,Uruguay,900000.0,in,summer,Laliga,2013,False,
Atlético Madrid,Martín Demichelis,32,Argentina,Centre-Back,CB,3000000.0,Málaga CF,Spain,0.0,in,summer,Laliga,2013,False,
Atlético Madrid,Daniel Aranzubia,33,Spain,Goalkeeper,GK,2000000.0,Dep. La Coruña,Spain,0.0,in,summer,Laliga,2013,False,
Atlético Madrid,Falcao,27,Colombia,Centre-Forward,CF,60000000.0,Monaco,France,43000000.0,out,summer,Laliga,2013,False,
Atlético Madrid,Pizzi,23,Portugal,Attacking Midfield,AM,6000000.0,Benfica,Portugal,14000000.0,out,summer,Laliga,2013,False,
Atlético Madrid,Martín Demichelis,32,Argentina,Centre-Back,CB,3000000.0,Man City,England,4500000.0,out,summer,Laliga,2013,False,
Atlético Madrid,Joel Robles,23,Spain,Goalkeeper,GK,3000000.0,Everton,England,4000000.0,out,summer,Laliga,2013,False,
